row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,prediction_decision_score,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
14,correct,Much clearer than VHS-to-DVD-to-Digital,pos,pos,0.365,-0.2242,RoBERTa,"Enhanced RoBERTa Neg = 0.0605 (contribution: 0.2447);
Meta Has Intensifier = 0.0 (contribution: 0.0671);
Meta Has Contrast = 0.0 (contribution: 0.0636);
Enhanced RoBERTa Pos = 0.4058 (contribution: 0.0539);
Meta Contrast Count = 0.0 (contribution: 0.0344)","Meta Intensifier Count = 0.0 (contribution: -0.0648);
Enhanced RoBERTa Neu = 0.5338 (contribution: -0.0627);
Meta Has Negator = 0.0 (contribution: -0.0525);
Enhanced SVM Pos = 0.1948 (contribution: -0.0458);
Enhanced VADER Pos = 0.0 (contribution: -0.0426)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Meta Has Intensifier, Meta Has Contrast, Enhanced RoBERTa Pos, Meta Contrast Count. The main opposing signal was Meta Intensifier Count."
15,correct,ADAPTER IS NOT READY FOR PRIME TIME,neg,neg,0.6678,0.5802,RoBERTa,"Enhanced RoBERTa Neg = 0.8287 (contribution: 0.4259);
Enhanced RoBERTa Pos = 0.0156 (contribution: 0.2231);
Enhanced VADER Compound = -0.2755 (contribution: 0.1078);
Enhanced RoBERTa Neu = 0.1557 (contribution: 0.0756);
Meta Has Pos Phrase = 0.0 (contribution: 0.0578)","Meta Has Negator = 1.0 (contribution: -0.0851);
Meta Pos Phrase Count = 0.0 (contribution: -0.0507);
Meta Neg Phrase Count = 0.0 (contribution: -0.0339);
Enhanced VADER Neg = 0.26 (contribution: -0.0264);
Meta Intensifier Count = 0.0 (contribution: -0.0151)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Compound, Enhanced RoBERTa Neu, Meta Has Pos Phrase. The main opposing signal was Meta Has Negator."
16,correct,"This is not a good FM antenna, but it is a very good amplifier. Meaning If the reception is weak, this antenna will not help. But if the reception is already strong, the sound quality will improve a lot.",neu,neu,0.4876,0.0927,Polarity Shift Features,"Enhanced RoBERTa Neu = 0.4927 (contribution: 0.1819);
Meta Has Intensifier = 1.0 (contribution: 0.1399);
Meta Has Contrast = 1.0 (contribution: 0.091);
Meta Pos Phrase Count = 0.0 (contribution: 0.0789);
Meta Contrast Count = 2.0 (contribution: 0.0709)","Enhanced VADER Compound = -0.3069 (contribution: -0.1257);
Meta Has Pos Phrase = 0.0 (contribution: -0.0692);
Meta Intensifier Count = 1.0 (contribution: -0.0611);
Meta Has Neg Phrase = 0.0 (contribution: -0.055);
Enhanced NB Neg = 0.4449 (contribution: -0.035)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from Polarity Shift Features. The top supporting features were Enhanced RoBERTa Neu, Meta Has Intensifier, Meta Has Contrast, Meta Pos Phrase Count, Meta Contrast Count. The main opposing signal was Enhanced VADER Compound."
18,correct,Believe,pos,pos,0.49,0.1066,RoBERTa,"Enhanced RoBERTa Neg = 0.0326 (contribution: 0.2683);
Enhanced RoBERTa Pos = 0.6031 (contribution: 0.2228);
Meta Has Intensifier = 0.0 (contribution: 0.0671);
Meta Has Contrast = 0.0 (contribution: 0.0636);
Enhanced SVM Neu = 0.2798 (contribution: 0.0354)","Meta Intensifier Count = 0.0 (contribution: -0.0648);
Meta Has Negator = 0.0 (contribution: -0.0525);
Enhanced VADER Pos = 0.0 (contribution: -0.0426);
Enhanced VADER Neu = 1.0 (contribution: -0.0301);
Enhanced RoBERTa Neu = 0.3643 (contribution: -0.0159)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Meta Has Intensifier, Meta Has Contrast, Enhanced SVM Neu. The main opposing signal was Meta Intensifier Count."
19,correct,"Ladies with smaller sized chest would be fine with this product- Ladies with larger (D+), don't bother! The ears don't stick enough to keep the girls lifted and give you a weird shape when they do stick for a couple minutes.",neg,neg,0.3768,-0.1812,RoBERTa,"Enhanced RoBERTa Pos = 0.0865 (contribution: 0.1747);
Meta Has Pos Phrase = 0.0 (contribution: 0.0578);
Meta Has Neg Phrase = 0.0 (contribution: 0.0386);
Enhanced NB Neg = 0.5924 (contribution: 0.0288);
Meta Negator Count = 2.0 (contribution: 0.025)","Enhanced RoBERTa Neu = 0.5467 (contribution: -0.12);
Meta Has Negator = 1.0 (contribution: -0.0851);
Meta Pos Phrase Count = 0.0 (contribution: -0.0507);
Meta Neg Phrase Count = 0.0 (contribution: -0.0339);
Meta Intensifier Count = 0.0 (contribution: -0.0151)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Meta Has Pos Phrase, Meta Has Neg Phrase, Enhanced NB Neg, Meta Negator Count. The main opposing signal was Enhanced RoBERTa Neu."
21,correct,fake and gay,neg,neg,0.6368,0.4865,RoBERTa,"Enhanced RoBERTa Neg = 0.7901 (contribution: 0.3915);
Enhanced RoBERTa Pos = 0.0278 (contribution: 0.2148);
Enhanced VADER Compound = -0.4767 (contribution: 0.1468);
Meta Has Negator = 0.0 (contribution: 0.1097);
Enhanced RoBERTa Neu = 0.1821 (contribution: 0.0624)","Enhanced VADER Neg = 0.608 (contribution: -0.0769);
Meta Pos Phrase Count = 0.0 (contribution: -0.0507);
Enhanced VADER Neu = 0.392 (contribution: -0.0481);
Meta Negator Count = 0.0 (contribution: -0.0478);
Meta Neg Phrase Count = 0.0 (contribution: -0.0339)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Compound, Meta Has Negator, Enhanced RoBERTa Neu. The main opposing signal was Enhanced VADER Neg."
23,correct,the cam too big,neg,neg,0.438,-0.015,Polarity Shift Features,"Enhanced RoBERTa Pos = 0.0861 (contribution: 0.175);
Meta Has Negator = 0.0 (contribution: 0.1097);
Meta Has Pos Phrase = 0.0 (contribution: 0.0578);
Enhanced VADER Compound = 0.0 (contribution: 0.0543);
Meta Has Neg Phrase = 0.0 (contribution: 0.0386)","Enhanced RoBERTa Neu = 0.5482 (contribution: -0.1208);
Meta Pos Phrase Count = 0.0 (contribution: -0.0507);
Meta Negator Count = 0.0 (contribution: -0.0478);
Meta Neg Phrase Count = 0.0 (contribution: -0.0339);
Meta Intensifier Count = 0.0 (contribution: -0.0151)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from Polarity Shift Features. The top supporting features were Enhanced RoBERTa Pos, Meta Has Negator, Meta Has Pos Phrase, Enhanced VADER Compound, Meta Has Neg Phrase. The main opposing signal was Enhanced RoBERTa Neu."
24,correct,"The Cay by: Theodore TaylorThe main characters of the book are Timothy and Phillip. Timothy is a large black man that takes care of Phillip on the island. He is caring and hard working. He dies during a hurricane trying to protect Phillip. Phillip is a young boy who gets stranded on the island with Timothy. At first Phillip doesn't appreciate Timothy because he's black but soon he and Timothy become great friends.The plot of the story is about a young boy and an elderly man who get shipwrecked on an island. The young boy becomes blind shortly after the shipwreck. The young boy has to learn to become friends with the elderly black man. They end up becoming great friends learning new ways of surviving on the island.The setting of The Cay is on an island in the Caribbean during the time of World War II.The theme of the book is racism, life, faith, and survival.I liked The Cay because it teaches you that you can't judge someone by the color of their skin. Also it teaches you that it's okay to have disabilities because it doesn't stop people from doing things to be independent.",neu,neu,0.5625,0.3007,RoBERTa,"Enhanced RoBERTa Neu = 0.6429 (contribution: 0.329);
Enhanced VADER Compound = 0.9723 (contribution: 0.1482);
Meta Has Contrast = 1.0 (contribution: 0.091);
Meta Pos Phrase Count = 0.0 (contribution: 0.0789);
Meta Intensifier Count = 0.0 (contribution: 0.0737)","Meta Has Intensifier = 0.0 (contribution: -0.0742);
Meta Has Pos Phrase = 0.0 (contribution: -0.0692);
Meta Has Neg Phrase = 0.0 (contribution: -0.055);
Meta Negator Count = 3.0 (contribution: -0.0484);
Enhanced SVM Neu = 0.3135 (contribution: -0.0204)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Enhanced VADER Compound, Meta Has Contrast, Meta Pos Phrase Count, Meta Intensifier Count. The main opposing signal was Meta Has Intensifier."
25,correct,"It was easy to put in my wife's new Alcatel phone, and it does its job.",pos,pos,0.6625,0.5648,RoBERTa,"Enhanced RoBERTa Pos = 0.9072 (contribution: 0.4831);
Enhanced RoBERTa Neg = 0.0053 (contribution: 0.2913);
Meta Has Intensifier = 0.0 (contribution: 0.0671);
Meta Has Contrast = 0.0 (contribution: 0.0636);
Enhanced SVM Pos = 0.4638 (contribution: 0.0608)","Meta Intensifier Count = 0.0 (contribution: -0.0648);
Meta Has Negator = 0.0 (contribution: -0.0525);
Enhanced NB Neg = 0.2144 (contribution: -0.0394);
Enhanced NB Pos = 0.4728 (contribution: -0.0139);
Meta Diminisher Count = 0.0 (contribution: -0.0115)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Enhanced RoBERTa Neg, Meta Has Intensifier, Meta Has Contrast, Enhanced SVM Pos. The main opposing signal was Meta Intensifier Count."
26,correct,"Thriller, edited by the ubiquitous James Patterson, is the first publication of the recently formed International Thriller Writers Inc. To publicise (and help fund) the ITW, Patterson has compiled a collection of thirty stories donated by well-known thriller writers, all using ""a familiar character or plotline"" from their novels.Unsurprisingly, the result is something of a mixed bag. Not all novelists are masters of the short story form, and many of these writers seem uncomfortable within its confines. Some of the stories skimp on characterization, and some on plot; some work well as stand-alones, but others rely too much on the readers' knowledge of characters and organizations from the writers' novels. That said, there are some gems inside.Patterson leads with one of the strongest stories: 'James Penney's New Identity', by Lee Child. Penney, a Vietnam vet, suffers from post-traumatic syndrome, and has been retrenched after seventeen years in the same job because of a poor attendance record. Going slightly crazy, he sets fire to his house before fleeing in his prized Firebird, but the fire spreads. Soon he's wanted for arson - and then, he encounters military cop Jack Reacher. It's a neat little tale, and all you need to know about Reacher for it to work is his idea of honour.J. A. Konrath's 'Epitaph' is less surprising, but it's a well-written and punchy story involving Phin Trout, one of the colourful sidekicks of Whiskey Sour's heroine ""Jack"" Daniels. In James Rollins's amusing and fast-paced 'Kowalski's in Love', Sigma Force's heroic but less-than-brilliant Joe Kowalski has to fight his way past booby traps and rabid baboons to loot a mad scientist's island laboratory before the Brazilian government fire-bombs the place. In F. Paul Wilson's 'Interlude at Duane's', unarmed career criminal Repairman Jack has to hunt for improvised weapons in a drug-store held up by a heavily armed team of enthusiastic amateurs; the action is frantic, and the results gruesome, but the tone is light-heartedly anarchic.More serious is James Siegel's 'Empathy', a grim and claustrophobic stand-alone about a masseuse who suspects that a client is a paedophile, but lacks proof. David Morrell's 'The Abelard Sanction' features a tense armed stand-off between enemy spies in a sanctuary; it starts with several pages of background, but Morrell manages to make this as interesting as his conflicted characters. Dennis Lynds's 'Success of a Mission' and Grant Blackwood's 'Sacrifical Lion' are well-constructed accounts of dangerous undercover missions - one in the Middle East, the other in Stalin's Russia.Two of the stories make use of the September 11 attacks and their aftermath. David Dun's 'Spirit Walker' pits Tilok tracker Kier Wintripp against the Anthrax letter bomber, and in Steve Berry's 'The Devils' Due' - one of the gems in the collection - Osama Bin Laden arranges a meeting with Cotton Malone and offers to surrender.For fans of historical conspiracies, there is Katherine Neville's 'The Tuesday Club', in which Benjamin Franklin and Thomas Jefferson look for secret messages in 'Frere Jacques'. David Liss pits 18th century thief-taker Benjamin Weaver against a cunning highwayman, and Ted Bell spins a yarn of Napoleonic-era sailors and pirates in 'The Powder Monkey'.Christopher Reich's 'Assassins' and Robert Liparulo's 'Kill Zone' are little more than character studies, but Liparullo does a particularly good job of showing us the viewpoint of police sniper Byron Stone.Alex Kava's 'Goodnight, Sweet Mother' and John Lescroart and M. J. Rose's 'The Portal' are both enjoyably twisted, but Heather Graham's 'The Face in the Window' is rather predictable. Michael and Daniel Palmer's 'Disfigured' is an intriguing tale of a deranged kidnap plot, but needed to be at least twice as long.James Grippando's 'Operation Northwoods' feels more like a teaser for his next novel - as do Gayle Lynds's 'The Hunt for Dmitri', Brad Thor's 'The Athens Solution', and Douglas Preston and Lincoln Child's 'Gone Fishing', despite their promising beginnings.Chris Mooney's 'Falling', Denise Hamilton's 'At The Drop of A Hat', Christopher Rice's 'Man Catch', and M. Diane Vogt's 'Surviving Toronto' all feel more like compressed novels, with too many scenes and characters reduced to ciphers and most of the tension left out. Raelynn Hillhouse handles the short story length better in 'Diplomatic Constraints', an exciting prologue to 'Outsourced', but I still felt I was missing something.This book is rather like a smorgasbord for thriller readers. Even if you don't like everything on offer, chances are you'll find something you'll want to try again.",neu,neu,0.8428,1.1895,Polarity Shift Features,"Meta Contrast Count = 11.0 (contribution: 0.5891);
Enhanced RoBERTa Neu = 0.6839 (contribution: 0.3692);
Meta Has Diminisher = 1.0 (contribution: 0.1828);
Meta Has Contrast = 1.0 (contribution: 0.091);
Meta Pos Phrase Count = 0.0 (contribution: 0.0789)","Meta Has Intensifier = 0.0 (contribution: -0.0742);
Meta Has Pos Phrase = 0.0 (contribution: -0.0692);
Meta Has Neg Phrase = 0.0 (contribution: -0.055);
Enhanced SVM Pos = 0.4116 (contribution: -0.0277);
Meta Negator Count = 2.0 (contribution: -0.0197)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from Polarity Shift Features. The top supporting features were Meta Contrast Count, Enhanced RoBERTa Neu, Meta Has Diminisher, Meta Has Contrast, Meta Pos Phrase Count. The main opposing signal was Meta Has Intensifier."
27,correct,"I just got mine now, and its an awesome cross! Great detail of the Holy Trinity. Love it!",pos,pos,0.7023,0.6893,RoBERTa,"Enhanced RoBERTa Pos = 0.976 (contribution: 0.542);
Enhanced RoBERTa Neg = 0.003 (contribution: 0.2933);
Enhanced RoBERTa Neu = 0.021 (contribution: 0.0789);
Enhanced VADER Pos = 0.481 (contribution: 0.0782);
Meta Has Intensifier = 0.0 (contribution: 0.0671)","Meta Intensifier Count = 0.0 (contribution: -0.0648);
Meta Has Negator = 0.0 (contribution: -0.0525);
Enhanced NB Neg = 0.1821 (contribution: -0.0494);
Enhanced VADER Compound = 0.9323 (contribution: -0.0226);
Enhanced NB Pos = 0.4979 (contribution: -0.0161)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Enhanced RoBERTa Neg, Enhanced RoBERTa Neu, Enhanced VADER Pos, Meta Has Intensifier. The main opposing signal was Meta Intensifier Count."
31,correct,"I liked the monitor colors, size, clarity, but I have an HP computer (good processor, three years old) and it will not download the driver software. I find the buttons ( not very deep) in the back to be uncmfortable to work from the front.. I'm reasonably computer savvy and have not had this problem before. So I called AOC twice but neither technician could figure out a way to resolve the problem, using the disc or with a separate emailed download. They said this happens sometimes.",neg,neg,0.5455,0.297,RoBERTa,"Enhanced RoBERTa Neg = 0.6637 (contribution: 0.279);
Enhanced RoBERTa Pos = 0.029 (contribution: 0.214);
Enhanced VADER Compound = -0.4981 (contribution: 0.151);
Meta Negator Count = 3.0 (contribution: 0.0614);
Meta Has Pos Phrase = 0.0 (contribution: 0.0578)","Meta Has Negator = 1.0 (contribution: -0.0851);
Meta Pos Phrase Count = 0.0 (contribution: -0.0507);
Meta Neg Phrase Count = 0.0 (contribution: -0.0339);
Meta Contrast Count = 2.0 (contribution: -0.0282);
Meta Has Intensifier = 1.0 (contribution: -0.0245)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Compound, Meta Negator Count, Meta Has Pos Phrase. The main opposing signal was Meta Has Negator."
32,correct,"I am going to be honest and I am telling you that for premade and moldable fronts or grillz they are pretty damn nice and comfortable! I have purchased two different sets of them and I like both sets and I wear them often! I am basically saying that I am far from a goofy type guy that is clueless about looking good or people telling you that you look good but you actually look dumb as hell and they're not trying to hurt your feelings, LoL!",neu,neu,0.4951,0.1176,RoBERTa,"Enhanced RoBERTa Neu = 0.4508 (contribution: 0.141);
Meta Has Contrast = 1.0 (contribution: 0.091);
Meta Pos Phrase Count = 0.0 (contribution: 0.0789);
Meta Intensifier Count = 0.0 (contribution: 0.0737);
Enhanced VADER Compound = 0.5775 (contribution: 0.0637)","Meta Has Intensifier = 0.0 (contribution: -0.0742);
Meta Has Pos Phrase = 0.0 (contribution: -0.0692);
Meta Has Neg Phrase = 0.0 (contribution: -0.055);
Enhanced SVM Pos = 0.4011 (contribution: -0.0249);
Meta Has Diminisher = 0.0 (contribution: -0.0131)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Meta Has Contrast, Meta Pos Phrase Count, Meta Intensifier Count, Enhanced VADER Compound. The main opposing signal was Meta Has Intensifier."
