row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,prediction_decision_score,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
15,correct,ADAPTER IS NOT READY FOR PRIME TIME,neg,neg,0.6406,0.5059,RoBERTa,"Base RoBERTa Neg = 0.8343 (contribution: 0.4338);
Base RoBERTa Pos = 0.0144 (contribution: 0.2145);
Base VADER Compound = -0.2755 (contribution: 0.1292);
Base RoBERTa Neu = 0.1513 (contribution: 0.0741);
Base SVM Neg = 0.3736 (contribution: 0.0143)","Base VADER Neg = 0.26 (contribution: -0.0342);
Base VADER Pos = 0.0 (contribution: -0.0172);
Base NB Pos = 0.2636 (contribution: -0.0083)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base RoBERTa Neu, Base SVM Neg. The main opposing signal was Base VADER Neg."
16,correct,"This is not a good FM antenna, but it is a very good amplifier. Meaning If the reception is weak, this antenna will not help. But if the reception is already strong, the sound quality will improve a lot.",neu,neu,0.4441,-0.0339,RoBERTa,"Base RoBERTa Neu = 0.522 (contribution: 0.2302);
Base VADER Neg = 0.232 (contribution: 0.08);
Base NB Pos = 0.1749 (contribution: 0.0603);
Base SVM Neu = 0.4055 (contribution: 0.0362);
Base RoBERTa Neg = 0.1419 (contribution: 0.0215)","Base VADER Compound = -0.3069 (contribution: -0.1683);
Base NB Neu = 0.3181 (contribution: -0.0157);
Base VADER Neu = 0.602 (contribution: -0.0005)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neu, Base VADER Neg, Base NB Pos, Base SVM Neu, Base RoBERTa Neg. The main opposing signal was Base VADER Compound."
18,correct,Believe,pos,pos,0.4914,0.1162,RoBERTa,"Base RoBERTa Neg = 0.0325 (contribution: 0.264);
Base RoBERTa Pos = 0.6068 (contribution: 0.231);
Base VADER Neg = 0.0 (contribution: 0.0323);
Base VADER Compound = 0.0 (contribution: 0.0236);
Base VADER Neu = 1.0 (contribution: 0.012)","Base RoBERTa Neu = 0.3608 (contribution: -0.0239);
Base VADER Pos = 0.0 (contribution: -0.0209);
Base NB Neg = 0.406 (contribution: -0.0171);
Base SVM Neg = 0.3441 (contribution: -0.0018);
Base NB Pos = 0.3042 (contribution: -0.0007)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Neg, Base VADER Compound, Base VADER Neu. The main opposing signal was Base RoBERTa Neu."
21,correct,fake and gay,neg,neg,0.6186,0.4476,RoBERTa,"Base RoBERTa Neg = 0.8088 (contribution: 0.411);
Base RoBERTa Pos = 0.0246 (contribution: 0.2078);
Base VADER Compound = -0.4767 (contribution: 0.1732);
Base RoBERTa Neu = 0.1666 (contribution: 0.067);
Base VADER Neu = 0.392 (contribution: 0.015)","Base VADER Neg = 0.608 (contribution: -0.0949);
Base VADER Pos = 0.0 (contribution: -0.0172);
Base SVM Pos = 0.3204 (contribution: -0.0024)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base RoBERTa Neu, Base VADER Neu. The main opposing signal was Base VADER Neg."
22,correct,".this book is NOT a dictionary of music notation>a dictionary would EXPLAIN all the notations used.this is a TYPESETTING GUIDE to writing down notation.it assumes you know the meaning of the notation already..it uses a number of terms that it does not explainsome of them are partially explained elsewhere if you know what entry to look under.but many of them you have to infer.wtf. this is supposed to explain all the terms not use the socratic method so i can perhaps infer the meanings..if you are going to hand write scores this book is of little use.if you are going to use software to print a score it is totally superfluous..incomplete!i was looking for a book to DEFINE the meaning of notations that i find in scores.it did NOT tell me what i needed to know..save your money. do not buy this tiny little 4 1/4 x 5 1/2 x 6/8' tome.there has to be better books about music notation that actually explain things..save your money. if you are printing scores you don't need it.finale or sibelius or most any scorewriter will automate it for you..a number of the explanations, such as they are, are incomprehensible.this book is too small, too short, too condensed, to tell me anything useful that i need to know..in short: useless waste of money -- do not buy this book..",neg,neg,0.4507,0.0887,RoBERTa,"Base RoBERTa Pos = 0.0462 (contribution: 0.1937);
Base RoBERTa Neg = 0.5106 (contribution: 0.1448);
Base SVM Pos = 0.106 (contribution: 0.0967);
Base SVM Neg = 0.5354 (contribution: 0.0715);
Base NB Neu = 0.2257 (contribution: 0.0517)","Base VADER Compound = 0.6476 (contribution: -0.0725);
Base RoBERTa Neu = 0.4433 (contribution: -0.0622);
Base NB Pos = 0.1607 (contribution: -0.0282);
Base VADER Pos = 0.053 (contribution: -0.0118);
Base VADER Neu = 0.921 (contribution: -0.0061)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base SVM Pos, Base SVM Neg, Base NB Neu. The main opposing signal was Base VADER Compound."
24,correct,"The Cay by: Theodore TaylorThe main characters of the book are Timothy and Phillip. Timothy is a large black man that takes care of Phillip on the island. He is caring and hard working. He dies during a hurricane trying to protect Phillip. Phillip is a young boy who gets stranded on the island with Timothy. At first Phillip doesn't appreciate Timothy because he's black but soon he and Timothy become great friends.The plot of the story is about a young boy and an elderly man who get shipwrecked on an island. The young boy becomes blind shortly after the shipwreck. The young boy has to learn to become friends with the elderly black man. They end up becoming great friends learning new ways of surviving on the island.The setting of The Cay is on an island in the Caribbean during the time of World War II.The theme of the book is racism, life, faith, and survival.I liked The Cay because it teaches you that you can't judge someone by the color of their skin. Also it teaches you that it's okay to have disabilities because it doesn't stop people from doing things to be independent.",neu,neu,0.4693,0.0641,RoBERTa,"Base RoBERTa Neu = 0.6487 (contribution: 0.368);
Base VADER Compound = 0.9723 (contribution: 0.1775);
Base RoBERTa Pos = 0.1626 (contribution: 0.0387);
Base RoBERTa Neg = 0.1887 (contribution: 0.0166);
Base VADER Neg = 0.075 (contribution: 0.0053)","Base NB Pos = 0.573 (contribution: -0.1225);
Base NB Neu = 0.2485 (contribution: -0.0461);
Base SVM Neu = 0.2872 (contribution: -0.0433);
Base NB Neg = 0.1785 (contribution: -0.0125);
Base SVM Pos = 0.3465 (contribution: -0.0069)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neu, Base VADER Compound, Base RoBERTa Pos, Base RoBERTa Neg, Base VADER Neg. The main opposing signal was Base NB Pos."
25,correct,"It was easy to put in my wife's new Alcatel phone, and it does its job.",pos,pos,0.7064,0.7137,RoBERTa,"Base RoBERTa Pos = 0.9085 (contribution: 0.4938);
Base RoBERTa Neg = 0.0056 (contribution: 0.2865);
Base RoBERTa Neu = 0.086 (contribution: 0.1055);
Base NB Pos = 0.4986 (contribution: 0.0636);
Base SVM Pos = 0.3807 (contribution: 0.0507)","Base VADER Compound = 0.4404 (contribution: -0.0093);
Base SVM Neg = 0.3412 (contribution: -0.0013);
Base VADER Pos = 0.162 (contribution: -0.0007)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base RoBERTa Neu, Base NB Pos, Base SVM Pos. The main opposing signal was Base VADER Compound."
26,correct,"Thriller, edited by the ubiquitous James Patterson, is the first publication of the recently formed International Thriller Writers Inc. To publicise (and help fund) the ITW, Patterson has compiled a collection of thirty stories donated by well-known thriller writers, all using ""a familiar character or plotline"" from their novels.Unsurprisingly, the result is something of a mixed bag. Not all novelists are masters of the short story form, and many of these writers seem uncomfortable within its confines. Some of the stories skimp on characterization, and some on plot; some work well as stand-alones, but others rely too much on the readers' knowledge of characters and organizations from the writers' novels. That said, there are some gems inside.Patterson leads with one of the strongest stories: 'James Penney's New Identity', by Lee Child. Penney, a Vietnam vet, suffers from post-traumatic syndrome, and has been retrenched after seventeen years in the same job because of a poor attendance record. Going slightly crazy, he sets fire to his house before fleeing in his prized Firebird, but the fire spreads. Soon he's wanted for arson - and then, he encounters military cop Jack Reacher. It's a neat little tale, and all you need to know about Reacher for it to work is his idea of honour.J. A. Konrath's 'Epitaph' is less surprising, but it's a well-written and punchy story involving Phin Trout, one of the colourful sidekicks of Whiskey Sour's heroine ""Jack"" Daniels. In James Rollins's amusing and fast-paced 'Kowalski's in Love', Sigma Force's heroic but less-than-brilliant Joe Kowalski has to fight his way past booby traps and rabid baboons to loot a mad scientist's island laboratory before the Brazilian government fire-bombs the place. In F. Paul Wilson's 'Interlude at Duane's', unarmed career criminal Repairman Jack has to hunt for improvised weapons in a drug-store held up by a heavily armed team of enthusiastic amateurs; the action is frantic, and the results gruesome, but the tone is light-heartedly anarchic.More serious is James Siegel's 'Empathy', a grim and claustrophobic stand-alone about a masseuse who suspects that a client is a paedophile, but lacks proof. David Morrell's 'The Abelard Sanction' features a tense armed stand-off between enemy spies in a sanctuary; it starts with several pages of background, but Morrell manages to make this as interesting as his conflicted characters. Dennis Lynds's 'Success of a Mission' and Grant Blackwood's 'Sacrifical Lion' are well-constructed accounts of dangerous undercover missions - one in the Middle East, the other in Stalin's Russia.Two of the stories make use of the September 11 attacks and their aftermath. David Dun's 'Spirit Walker' pits Tilok tracker Kier Wintripp against the Anthrax letter bomber, and in Steve Berry's 'The Devils' Due' - one of the gems in the collection - Osama Bin Laden arranges a meeting with Cotton Malone and offers to surrender.For fans of historical conspiracies, there is Katherine Neville's 'The Tuesday Club', in which Benjamin Franklin and Thomas Jefferson look for secret messages in 'Frere Jacques'. David Liss pits 18th century thief-taker Benjamin Weaver against a cunning highwayman, and Ted Bell spins a yarn of Napoleonic-era sailors and pirates in 'The Powder Monkey'.Christopher Reich's 'Assassins' and Robert Liparulo's 'Kill Zone' are little more than character studies, but Liparullo does a particularly good job of showing us the viewpoint of police sniper Byron Stone.Alex Kava's 'Goodnight, Sweet Mother' and John Lescroart and M. J. Rose's 'The Portal' are both enjoyably twisted, but Heather Graham's 'The Face in the Window' is rather predictable. Michael and Daniel Palmer's 'Disfigured' is an intriguing tale of a deranged kidnap plot, but needed to be at least twice as long.James Grippando's 'Operation Northwoods' feels more like a teaser for his next novel - as do Gayle Lynds's 'The Hunt for Dmitri', Brad Thor's 'The Athens Solution', and Douglas Preston and Lincoln Child's 'Gone Fishing', despite their promising beginnings.Chris Mooney's 'Falling', Denise Hamilton's 'At The Drop of A Hat', Christopher Rice's 'Man Catch', and M. Diane Vogt's 'Surviving Toronto' all feel more like compressed novels, with too many scenes and characters reduced to ciphers and most of the tension left out. Raelynn Hillhouse handles the short story length better in 'Diplomatic Constraints', an exciting prologue to 'Outsourced', but I still felt I was missing something.This book is rather like a smorgasbord for thriller readers. Even if you don't like everything on offer, chances are you'll find something you'll want to try again.",neu,neu,0.731,0.7874,RoBERTa,"Base RoBERTa Neu = 0.7042 (contribution: 0.4282);
Base SVM Neu = 0.7673 (contribution: 0.2796);
Base NB Neu = 0.5847 (contribution: 0.1004);
Base VADER Compound = 0.5419 (contribution: 0.0611);
Base RoBERTa Pos = 0.0949 (contribution: 0.0533)",Base NB Neg = 0.2172 (contribution: -0.0095),"The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neu, Base SVM Neu, Base NB Neu, Base VADER Compound, Base RoBERTa Pos. The main opposing signal was Base NB Neg."
27,correct,"I just got mine now, and its an awesome cross! Great detail of the Holy Trinity. Love it!",pos,pos,0.7192,0.7532,RoBERTa,"Base RoBERTa Pos = 0.9772 (contribution: 0.5537);
Base RoBERTa Neg = 0.0029 (contribution: 0.2887);
Base RoBERTa Neu = 0.0199 (contribution: 0.1366);
Base NB Pos = 0.5313 (contribution: 0.0744);
Base NB Neg = 0.1881 (contribution: 0.039)","Base VADER Compound = 0.9323 (contribution: -0.046);
Base VADER Neu = 0.519 (contribution: -0.013);
Base SVM Neu = 0.3523 (contribution: -0.0004)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base RoBERTa Neu, Base NB Pos, Base NB Neg. The main opposing signal was Base VADER Compound."
28,correct,"This batch that I bouth in 2010 no only won't burn in either my CD/DVD player but it ejects itself before I can press a button. Same with the other player on my machine which also burns blu rays. I took the DL Verbatims from 2007-2008 and saved them to one BluRay and all the info was transferred wihtout a hitch. The 4.7s work great, I even get what should be DL space items compressed without much quality loss to the 4.7s This is very bad. They did something in the factory that reduced the quality of the DL disk to where the machine dosent even want it to sit there. I kicks it out. Sometimes im lucky if i put it in and press burn right away it will register but more often then not burns coaster.",neg,neg,0.4912,0.1488,RoBERTa,"Base RoBERTa Neg = 0.746 (contribution: 0.355);
Base RoBERTa Pos = 0.02 (contribution: 0.2108);
Base SVM Neg = 0.4403 (contribution: 0.0379);
Base RoBERTa Neu = 0.234 (contribution: 0.0355);
Base SVM Pos = 0.2606 (contribution: 0.0252)","Base VADER Compound = 0.8794 (contribution: -0.1232);
Base NB Neu = 0.4612 (contribution: -0.043);
Base NB Pos = 0.1909 (contribution: -0.0224);
Base VADER Pos = 0.115 (contribution: -0.0054);
Base VADER Neu = 0.838 (contribution: -0.0028)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base SVM Neg, Base RoBERTa Neu, Base SVM Pos. The main opposing signal was Base VADER Compound."
31,correct,"I liked the monitor colors, size, clarity, but I have an HP computer (good processor, three years old) and it will not download the driver software. I find the buttons ( not very deep) in the back to be uncmfortable to work from the front.. I'm reasonably computer savvy and have not had this problem before. So I called AOC twice but neither technician could figure out a way to resolve the problem, using the disc or with a separate emailed download. They said this happens sometimes.",neg,neg,0.5236,0.2065,RoBERTa,"Base RoBERTa Neg = 0.6542 (contribution: 0.273);
Base RoBERTa Pos = 0.0297 (contribution: 0.2045);
Base VADER Compound = -0.4981 (contribution: 0.1779);
Base SVM Neg = 0.362 (contribution: 0.0102);
Base SVM Pos = 0.3 (contribution: 0.007)","Base NB Neu = 0.5658 (contribution: -0.0852);
Base NB Pos = 0.2094 (contribution: -0.0188);
Base NB Neg = 0.2248 (contribution: -0.0147);
Base VADER Pos = 0.079 (contribution: -0.0091);
Base VADER Neg = 0.093 (contribution: -0.0051)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base SVM Neg, Base SVM Pos. The main opposing signal was Base NB Neu."
32,correct,"I am going to be honest and I am telling you that for premade and moldable fronts or grillz they are pretty damn nice and comfortable! I have purchased two different sets of them and I like both sets and I wear them often! I am basically saying that I am far from a goofy type guy that is clueless about looking good or people telling you that you look good but you actually look dumb as hell and they're not trying to hurt your feelings, LoL!",neu,neu,0.4951,0.0957,RoBERTa,"Base RoBERTa Neu = 0.4475 (contribution: 0.1493);
Base SVM Neu = 0.4686 (contribution: 0.0787);
Base VADER Compound = 0.5775 (contribution: 0.0708);
Base NB Pos = 0.1794 (contribution: 0.0582);
Base VADER Neg = 0.141 (contribution: 0.0367)","Base NB Neu = 0.2581 (contribution: -0.0419);
Base VADER Pos = 0.216 (contribution: -0.0082);
Base VADER Neu = 0.643 (contribution: -0.0004)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neu, Base SVM Neu, Base VADER Compound, Base NB Pos, Base VADER Neg. The main opposing signal was Base NB Neu."
33,correct,"This is the book that was used for MATH 0150 at Kean University, Union, NJ, USA.",neu,neu,0.4963,0.1587,RoBERTa,"Base RoBERTa Neu = 0.8873 (contribution: 0.6271);
Base RoBERTa Pos = 0.0806 (contribution: 0.0563);
Base RoBERTa Neg = 0.0321 (contribution: 0.0329);
Base VADER Pos = 0.0 (contribution: 0.0287);
Base VADER Neu = 1.0 (contribution: 0.0007)","Base NB Pos = 0.5121 (contribution: -0.0945);
Base VADER Compound = 0.0 (contribution: -0.0853);
Base NB Neu = 0.2705 (contribution: -0.0365);
Base VADER Neg = 0.0 (contribution: -0.0304);
Base SVM Neu = 0.3208 (contribution: -0.0208)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neu, Base RoBERTa Pos, Base RoBERTa Neg, Base VADER Pos, Base VADER Neu. The main opposing signal was Base NB Pos."
35,correct,You'd have to be nuts to trust your data to this device,neg,neg,0.57,0.3396,RoBERTa,"Base RoBERTa Neg = 0.7367 (contribution: 0.3466);
Base RoBERTa Pos = 0.0211 (contribution: 0.2101);
Base NB Neu = 0.2439 (contribution: 0.0444);
Base RoBERTa Neu = 0.2422 (contribution: 0.0317);
Base NB Neg = 0.5872 (contribution: 0.0316)","Base NB Pos = 0.1689 (contribution: -0.0267);
Base VADER Neg = 0.147 (contribution: -0.0145)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base NB Neu, Base RoBERTa Neu, Base NB Neg. The main opposing signal was Base NB Pos."
39,correct,"Don't let this one pass you buy. Despite the height of the heel , it's extremely comfortable .I have this shoe in the black patent. It's a a buy you won't regret..",pos,pos,0.6228,0.4594,RoBERTa,"Base RoBERTa Pos = 0.851 (contribution: 0.4437);
Base RoBERTa Neg = 0.0093 (contribution: 0.2834);
Base RoBERTa Neu = 0.1398 (contribution: 0.0802);
Base SVM Neu = 0.2496 (contribution: 0.0675);
Base SVM Pos = 0.3684 (contribution: 0.0412)","Base NB Neg = 0.5144 (contribution: -0.045);
Base NB Pos = 0.234 (contribution: -0.0239);
Base VADER Compound = 0.5563 (contribution: -0.018);
Base SVM Neg = 0.382 (contribution: -0.008);
Base VADER Pos = 0.114 (contribution: -0.0067)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base RoBERTa Neu, Base SVM Neu, Base SVM Pos. The main opposing signal was Base NB Neg."
40,correct,Item is cracked and unusable,neg,neg,0.6818,0.6212,RoBERTa,"Base RoBERTa Neg = 0.9073 (contribution: 0.4989);
Base RoBERTa Pos = 0.0106 (contribution: 0.217);
Base RoBERTa Neu = 0.0821 (contribution: 0.1064);
Base VADER Compound = 0.0 (contribution: 0.069);
Base NB Neu = 0.2635 (contribution: 0.0365)","Base VADER Pos = 0.0 (contribution: -0.0172);
Base VADER Neu = 1.0 (contribution: -0.0092);
Base NB Pos = 0.2823 (contribution: -0.0046)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base RoBERTa Neu, Base VADER Compound, Base NB Neu. The main opposing signal was Base VADER Pos."
