Text,Sentiment
"My all time best and favorite pair of headphones were Behringer (I paid $25 for them) they were low end studio headphones. They were built very well, long cord, adapter (used them for home studio and regular music). These HPM1000s? Not very good at all. They have the same audio quality as a cheap pair from the dollar store. Seriously. Not nearly as good as a pair of in-ears I paid $7 for a few months ago. Negative: You know the closed headphones with the airholes, where you can hear music from both sides when they're on your head? These don't have the airholes but you can hear music out the other side with only a slight muffling. No privacy. Positive: I see a lot of complaints about them hurting ones ears, luckily I have extra small ears so they fit right around them. Positive: The plug is built solid, and they're turned side ways when you plug it in. So you don't have to worry about bumping the plug or it getting twisted. They did a good job with that. The adapter 1/4 adapter screws off and you can plug them into any mp3 player, laptop, tablet, etc. Negative: One of the earmuffs has already came off twice and it was hard getting it back on without tearing it. As good as the plug is built, the muffs are cheap (despite the texture mimicking better headphones). Positive: The over the head arch? Very well built. Thick. One of the best features. I can't imagine these breaking or the adjustable part snapping, which happens on many headphones. Positive: The cord is thick and won't twist or short. If the earmuffs were better, the sound were MUCH better, and there was even moderate muffling of the sound, these would be some awesome headphones and worth much, much more. What's well built is very well built, what's cheap is VERY cheap. I was waffling between a 2.5 and a 3. The sound being below the level of even cheaper headphones is inexcusable.",neu
"Calm, Cool and Collected! ;D",pos
Save your money. Quality is poor. Fit is super small. I'm a small. Ordered a medium for an oversized look. Made in China - mailed from china and the shirt was like a kids sized shirt. The company refunded part of my purchase because a return would be too expensive. Very poor quality. Not like this picture on the web.,neg
"This map was great for our trip to Costa Rica. We rented a car and drove from San Jose to Monteverde. Once in Monteverde, it was very useful because it showed every possible landmark (hotels, restaurants, etc.), which is useful because it was not obvious how to find for example the Santa Elena Rainforest without this map.",pos
Love it especially with clip; broke after 1 yr.,neu
"The author has some neat ideas, a nice turn of phrase and a dry wit. However, this book is wildly opinionated and often poorly justified. The author is demonstrably ignorant of topics outside of economics. Biology and climate science are particular weaknesses which are embarrassingly used in far too many examples. I have never classified myself as an environmentalist but when reading the author's anti-eco tirade I couldn't help wondering if this was a joke. It reads like the author and his friends, all paid-up Republican-voting supply-side economists, decided he should write a book that discredits all those nandy-pandy liberal ideas that are ruining America. If only, he argues, we had purer and freer markets everything would be fine. Every problem is the result of interference in the magic distribution of Smith's invisible hand. The author has clearly no idea of jurisprudence either. This is the key problem of the book. It's simply not rigorous in its justifications of sometimes outlandish-seeming claims, particularly improbable-seeming behavioral predictions. It's so flippant, you wonder whether you're supposed to take any assertion seriously.The result is a political manifesto masquerading as a book about economics. I accept that the two are related. As a political manifesto, it's not without its merits. The problem with its moral/political judgements is that we've just come out of over a decade of ""light touch"" regulation in financial markets and the net-effect has been a global financial catastrophe where the very rich are being bailed-out by the relatively poor. All brought about by other economics lobbyists, with similar beliefs to the author, succeeding in reducing federal regulations on the financial services industry, instead advocating self-governance. As the author states early on, ""people respond to incentives"".",neg
"Ex-con Matt Hunter is trying to rebuild his life and move forward after his four year prison sentence. His future was changed forever by a justice system that ignored his claim of self-defense. It has been nine years since his release but the fear of prison, the fragility of freedom, is something that is always there in the back of his mind.His rebuilt life begins to unravel when he gets a strange cell phone call from his pregnant wife-or at least from her cell number. A photograph appears of a man mockingly waving at him. Considering how rare his wife, Olivia, used the camera equipped cell phone, Matt is perplexed. The man seems proud of himself and Matt has no idea who he is. Matt's emotions quickly get the better of him when a second call comes in from her phone. This time it is a video sequence that seems to depict his wife cheating on him with the man from the still picture.Matt can't reach her where she is supposed to be and when he finally does, he realizes without a doubt that his beautiful wife, the mother of his child to be, is lying to him. He doesn't know why. Nor does he know why a man was tailing him and why that same man is now dead. Nor does he know why his name has turned up in an investigation concerning a murdered nun. He does know that he can't trust the system to clear him having failed him before. He needs answers to a past that both he and Olivia had sought to put behind them before they have chance to live, let alone have a life together like their dreams.While an enjoyable read with interesting characters and plenty of action filled plot twists, coincidence plays a heavy role in the work almost to the point of absurdity. All the coincidences can't be detailed in this review as to do so would remove any need whatsoever to read the book. However, there are so many, including two in the final twist sequence, that the read generates a laugh out loud moment as opposed to the shocking suspense intended.However, if the reader can totally suspend disbelief for the entire 370-page novel, the result is an entertaining read that easily passes a few hours. This hardback also features a short story ""The Rise and Fall of Super D"" containing his very much missed character Myron Bolitar.Book Facts:The InnocentBy Harlan Coben[...]",neu
Texty.,neu
Love it having two batteries is always a good thing to have.,pos
It woks,pos
"It doesn't seem to work on phones(windows, android) and my nexus tablet 10. They all have micro usb ports but won't read when I use this adapter for flash drives or other usbs",neg
I ordered these for my friend and she really like them. The price is also good. Thank you also for the fast delivery.,pos
"Not bad, but I like my Zenith better",neu
"this was the best book ever, it was cool because it was about history but it didnt seem like a history school book, if anyone knows of any books like this about greek or roman mythology email me",pos
Thick enough material that you don't see through it.,pos
Nice Quality. would like to return for a medium,neg
They are soft and comfy I really like these slippers a lot,pos
"The silicone skin fit perfectly over the product and it slips easily into the holster. The little piece of plastic on top of the holster that keeps the Nano from coming off the clip doesn't jut out as much as it should, so it could be a little easy for the Nano to go over it, thus releasing it from the clip. I haven't had that problem yet b/c I don't really do much with this Nano, but I think eventually with enough use, it could possibly become easier for it to slip out. All ports are accessible on the bottom for charging, as well as the headphone jack. The clip can be a little hard to squeeze open and doesn't feel like it can open that much, but I guess it's alright for light use.",neu
"Agatha Christie is known for the unusual twists she threw into her mysteries to make solving them especially difficult and gratifying. I have read many of Christie's mysteries and have been able to solve some, but ""The Murder of Roger Ackroyd"" left me completely in the dark. It is a thorougly mystifying and pleasant puzzle featuring her famed detective Hercule Poirot.The novel is narrated by Dr. Sheppard, doctor of the small village of King's Abbot. Mrs. Ferrars, a wealthy widow, has just died due to an overdose of poison. Before her death, however, she sent a letter to her fiance, Roger Ackroyd, confessing that she had been blackmailed about her husband's death and wished him to make the blackmailer pay. But before Ackroyd can follow her wishes, he is stabbed to death and almost every member of his household had a motive for killing him. The list of suspects includes his adopted son, who had incured a great deal of debt that Ackroyd refused to pay and who has not been seen since the murder, and his young niece who had money problems herself due to the extravagance of her and her mother's lifestyle. Dr. Sheppard allies himself with Hercule Poirot, who is meant to be retired in anonymity, and together they take on the case. Poirot immediately employs his little ""grey cells"" to solve the puzzling intricacies of the mystery at hand, while Dr. Sheppard functions in the Captain Hastings role of earlier mysteries.""The Murder of Roger Ackroyd"" is a fast-paced delightful read. The solution is entirely fitting but completely baffling to the reader as well. There are a few places where this work shows its age, particularly the chapter dealing with a game of Mah Jong, but otherwise it stands the test of time. This novel would serve as a fine introduction to Christie's work for anyone who is not familiar with her wonderful mysteries.",pos
You pay for this?,neg
"For the price, the swimsuit is good. I don't like bathing suit shopping because I get self conscious about how the top will fit (I don't want to look like a 12 year old boy). This bathingsuit has sturdy padding in it and it looks pretty good. The bottoms are very cheeky, so I wouldn't buy this if you were in middle school. Other than that I think it fit well and looks good.",pos
"Jodi Picoult is a great story teller. Writing about relationships is her strength. I have read all of her novels and have been captivated, time after time, by her characters and engrossing storylines. ""Picture Perfect"" is not one of Ms. Picoult's best efforts, however. This novel of the relationship between a Hollywood super star and a brilliant and acclaimed anthropologist is too contrived for my taste. She writes about an important and difficult societal issue here, but the complexity and real drama of her story are diminished by the unnecessary glitter of her characters and the addition of a subplot, so tangential, it is superfluous.Cassie Barrett is a physical anthropologist and lecturer at UCLA. She has been assigned to work at one of the university's sites in Tanzania for the semester when she is disturbed by the crew of a film production company in the process of making a movie. Since the film just happens to feature an anthropologist, she is recruited as a consultant and meets super star actor and heartthrob Alex Rivers. In a Cinderella romance with overtones of the ""Lifestyles Of The Rich and Famous,"" the two fall in love and marry. But gold does not lie beneath the glitter. Alex carries tons of baggage from an abusive childhood. Cassie has baggage of her own. Picoult describes the psychological dynamics of the couple with a sharp and knowing eye. Her characters are finely drawn, realistic and compelling. Characters and a parallel story are introduced that would make an interesting novel in itself, but are so removed from the main plot that their presence is distracting. I was left with a feeling that the author had added apples to oranges and hoped to come up with a logical rational for her character's actions. This is not typical of Ms. Picoult's usual taut plots and tight writing style. Apples and oranges do not mix well in this novel and I was left hungry.JANA",neu
"I bought one at Target a week ago. I can't verify if it was the exact same model, but it was a GE brand. BOTH the mouse and the keyboard were very inconsistent, so it went back to the store.",neg
"I can see why it's 3 stars out of 475 reviews! 1st the Bluetooth won't pair with anything (#1) reason I bought it, (2) the remote control works less than 10 feet from the unit, 2nd reason I bought it! Says 120 watts, I seriously doubt that! I went back to my Lepai 2020TI which has better sound & it's only $20 + free shipping on FleaBay. Very very disappointed with this amplifier!",neg
"Works, and at a very good price. This is a follow up. After less than several weeks of road bike riding, this mount has broken. I have changed it to one star to reflect this failure. I use a Garmin VIRB, so perhaps it is not designed for this camera's weight. However, be forewarned that this mount is NOT very robust.",neg
"I live and work in China and generally love reading Chinese history, so after reading reviews here I ordered several of Spence's books. His writing style in general focuses too much on minute details that are not interesting to me, such as poems and musings by historical characters (a lot of them!). If you are doing research on a certain historical person it might be useful, if you are looking for a fun read this is not it.",neg
I like this unit much better than my H115i,pos
These socks are warm.. not to thick.. jus the right comfort!,pos
"Cremony was known to gloat and fictionalize his stories. And as noted in the book description, Cremony's main intent was to further suppress those who were here in America before himself, in particular the Apaches. If you read this book, also read Cochise by Ed Sweeney and Mangas Coloradas to get a view from both sides of the fence.",neu
Too dark not as see able as picture,neg
"The material is stretchy and doesn't feel good. It did not look good either, nothing like the picture.",neu
"does not work. I contacted the seller and they asked me if I use it correctly, what a joke.",neg
Being a devoted MAC and trackball user I have been frustrated with the lack of bluetooth trackballs. I looked extensively for a bluetooth trackball. No such beast exists. Wanting to have an input devise other than the trackpad on my MacBook Pro I finally began the search for a Bluetooth mouse. I looked for a 3 button mouse at a good price. The Logitech V270 doesn't have the 3rd button I wanted but other than that it has turned out to be a great mouse. It has smooth movements both on the surface and the curser. It scrolls well and for use on a MAC needs no software. It isn't configurable on the MAC but I haven't found that a problem. I do miss the ability to click drag and drop I had on my previous trackball but that's okay. The position and aim of the light great also. I used a different mouse for a few days before I ordered this one and the light was at the front and pointing forward. I was using the area next to the trackpad on my MacBookPro as the mouse pad (works well) and I would sometimes end up with the light aiming into the keys stopping the curser. I haven't had that problem with the V270. The light is centered on the bottom. I have had no problems with it. It also works well even though I have dropped it a number of times. The battery life is excellent. I have had the mouse over a month and have forgotten to turn it off a number of times (okay a lot) and the original batteries are still working. It also comes with a case. I recommend this Bluetooth mouse to anyone.,pos
"Forget about war and peace, this is all you nee",pos
great findings exactly as advertised.,pos
"The Penguin Lives series are not traditional biographies. They are short essays on the meanings and mysteries of a person's life, at the time they lived and in the present for us. They are for people (like me) who would not, could not read an 900 page book containing every detail of Joan's life, times and trial. There are plenty of those big biographies out there if you need them. But for people who want a little thoughtful insight on how a teenage girl in 1431 was able to accomplish the unheard of, unprecedented things she did, this book is perfect. This is a book I will always keep and reread.",pos
My son likes them a lot.,pos
"As a gay man living in Canada in 2012, The Homo Handbook: Getting in Touch with Your Inner Homo by Judy Carter from 1996 seems sorely dated. Human rights and social legislation for gays and lesbians have advanced at meteor speed in Canada since 1996, while Americans unbelievably have had to deal with homophobic propositions and referenda at election time. I received The Homo Handbook as a Christmas gift from a colleague at work sixteen years ago. While I flipped through it and enjoyed its plentiful cartoons, I did not read it cover to cover until now.Carter is a lesbian comedian and at times her handbook is a riot to read. Most often the humour comes from playing with gay and lesbian stereotypes. I can laugh at myself even if I am not a flannel-wearing lesbian. Carter writes chapters on coming out to oneself, one's friends, one's parents, at work, and even chapters on how to get laid and how to become a gay activist. If I was at a point in my life where I was closeted and not even out to myself, I might have found this book valuable. However its structure seems far too new-age for my liking. The reader is often instructed to remember events from one's past, to meditate and breathe deeply in order to regress, and to write down spontaneously one's feelings in a coming-out diary. One is instructed to do a lot of note-taking while reading this book. I get the feeling that if one were to engage in every writing exercise during the process of reading this book, it would take a good two weeks--seriously--to accomplish all that Carter wants you to do:""Imagine that you're getting married. Go into detail--the outfit, the music, the strippers. Write for five minutes. How does that make you feel? Does it scare you? If so, why?""and""Make a list in your coming-out journal of what you are letting go of by coming out. Now write down the ways your parents made (make) you 'wrong.'""Carter believes in making lemonade out of lemons and finds internal strength even when dealing with homophobia or ""toxic"" friends. I didn't find some of her advice on what to do if you come out at work and get fired very helpful:""If you are fired for being gay, your coming out can wake up the world if you file a sexual-orientation-discrimination lawsuit.""This is fine if you have the time, money and strength to file and go through with legal action. If you're living paycheque-to-paycheque, Carter's remark that if you've lost your job, would you really want to be working for bigots anyway, seems little consolation. I am indeed fortunate to work where I do in a gay-positive place, and in Canada at that, where losing one's job because of one's sexual orientation is not a worry.Perhaps groundbreaking--and relevant--when it was written in 1996, The Homo Handbook is now a nostalgia piece that belongs in the lesbian and gay archives.",neg
Got it as a gift. Haven't tried it personally but have used other eye shadows from this brand. Not the best quality but makes for a cute gift.,neu
nice fit and great fabric - location of clasp in the middle of shoulder blades makes it next to impossible to fasten by yourself. I need assistance or you have to be double jointed to clasp,neu
"Very attractive necklace, I have received many compliments. Looks good with casual and dressy clothes alike.4 stars because I am uncertain whether the necklace is sterling silver as claimed. I'm not an expert and I don't have nitric acid on hand to test the metal, but put this necklace next to some sterling silver necklaces I have from a reputable jeweler and it looks closer to stainless steel than it does to sterling.Still a lovely necklace and I hope the finish lasts a long time.",pos
"Might work for some, but not for me. Not a bargain.",neg
Sharon,pos
"i had to read this book for school so i bought it so i could and im normally a really fast reader and my thoughts dont really trail off when im reading but i opened the book and started to read the first page, it took me 5 minutes just reading that one page because i would start thinking of what im gonna do this weekend or whats for dinner and then have to start over cause i couldn't remember what i had just read, so in my opinion dont read this book unless you absolutely have to.",neg
Ok. Nice for the price.,pos
"It's pretty but it's a cheapo watch. The ad says the band is gray but it's actually nude colored. And I sat outside on a humid day and after 2 hours, a lot of condensation had built up behind the watch face and it won't dry out!!",neu
"What a story! You look at her and you think that nothing bad has ever touched her life. Her life seemed blemish free of any trouble,strife. You would think somehow all that she had been through would surely have shown on her face. In her countenance. It is not that she wasn't smart. She was just a very trusting soul. That is not a bad in and of itself, but for her it almost became her total undoing; financially, emotionally, physically. She suffered through 3 horrendous marriages. Her first being at 17. Her first pregnancy was almost terminated in a most archaic way by her first husband. For whatever reason she ended up with jealous,cretins who more possessed than loved her. Mostly,they loved the almighty dollar. With the exception of her second husband.Fairly early in her life she was exposed to Christian Scientology. It is this reader's opinion that while it gave her some sense of a strong foundation in basic faith beliefs, it may have done her ultimately more harm than good. She later wisened up, again,just my opinion,(no hate mail please),and adopts a more balanced view of religion. It means if you get sick, you go to a doctor for God's sake and your own sake.Doris Day appears to touch on everything you would want her to; her musical career, her many movies and her co-stars in them,her candid, healthy outlook on sex, love, and even exercize and make-up tips for her female reader's appropriate for the 1970's when the book was published. At the beggining of the book, she is asked by the co-author A.E. Hotchner if she will tell all, she doesn't hesitate. You get the feeling she does. I like her. You will to.",pos
"In this second of the Bounty Hunter Wars trilogy, Jeter continues the two time periods, of just after ANH, and during ROTJ. Starting in ROTJ, we find Boba Fett, Neelah and Dengar taking over Bossk's ship the Hound's Tooth, tricking Bossk that a bomb was onboard to get him to jettison in an escape pod and take over. Boba does not want the galaxy to know he is alive, so he ditches Slave I. Neelah is still looking for her true identity, while trying to extract infor from both Dengar and Boba. So, Boba Fett sets in a course to another sector of the galaxy, with no clue on where he's taking us.Besides this, not too much happens in this time frame, except for the plot around Kuat of Kuat and thechallenge by the other bloodlines on the planet to take over his operations. Somehow we find out he planted Falleen pheremomes on Tatooine to make it look like Xizor had Luke's uncle and aunt killed.Most of the action takes place in the setting just after ANH. Bossk and Boba Fett team up to capture this renegade stormtrooper, not knowing thatPrince Xizor has set a trap for Fett, with help from Palpatine and Kud'ar Mub'at, the spider like alien.Pretty good action. You can definitely see that everyone involved in this novel is looking out for number one. We get a lot of dialogue from Boba Fett in this one, which is contrary to what most think his character to be, a bounty hunter of few words.Jeter at times loves to talk, repeating things about certain characters several times during a chapter; like we would forget or something. This tended to string to the book out longer than it should have. At other times, Jeter's writing was great, especially his use of adjectives to describe a planet that Boba Fett and Bossk meet on, where centipede like creatures live, with one wrapping itself around Bossk's ankle.Overall, this was a fair to good SW book. Looking forward to the finale, Hard Merchandise.",neu
Want to return!,neg
Excellent value. Fast shipping and very reasonably priced.,pos
"Having bought Studio MX 2004 because I wanted the easiest way to integrate graphics with DreamWeaver, I struggled and struggled to use Fireworks. I use Photoshop, but read how great Fireworks was and wanted to try it. I found that it's HELP is terrible, and not very useful to new users. Then I found Sandee Cohen's book, and all is now clear. This is a great book, walking the user systematically through how to use Fireworks, and emphasizing the ease and simplicity of keystroke shortcuts. Very highly recommended.",pos
"If you notice the Editorial review, it states ""in the book"" and ""the tape which accompanies the book"", so I thought I was getting both a tape and a book -- and I was in a hurry. I was surprised to receive only the tape (especially for $29.00). It has some good, if not always very understandable, native speakers of various dialects of Great Britain on it -- and without the transcriptions it is hard to grasp all the changes. I guess now I'll order the book and wait three weeks for that. It is a good resource for samples of some of the regional dialects not easily found in the major dialect source books.",neu
Good for a cheap webcam,pos
Inexpensive and powerful. Been using it for a few months now with no complaints.,pos
Love it. Nice big screen.,pos
"There are a number of books on the market whose titles begin with ""Of"" (""Of Mice and Men,"" ""Of Course I Can Cook"") and I have generally enjoyed them. This particular work is less satisfying on a number of levels, not the least of which is its rather uncompromising use of the letter ""P."" Still, the plotting is exciting, the characters vivid and their portraits poignant. But in the end, can it really be said that the structures of perception inherent in our language can reveal parallel structures of domination and oppression in the political world? More importantly, can it really be said without using the letter ""P"" quite so much?Readers who are interested in this subject matter may want to investigate some of the later works of Sean Hannity and Ludwig Wittgenstein, whose treatises on language and morality used a much richer selection of hard consonants.",pos
2.4GHz band started dropping connections,neu
"Allthough the writing in novel left a lot to be desired, it really did transport me back to the early 90's. I started out with a more straight crowd as a freshman but then I discovered alternative music and thrift store shopping. This led to punk rock and a totally different crowd. By the end of high school I was this scenester chick that wrote a zine and probably would have never hung out with the nerdy freshman I used to be. The book really does show how that time was. There's a line when Andrea is telling someone that they were going to a ""show"" not a ""concert"". I remember those conversations and trying to explain that to people. Andrea reminded me of myself (I was in the school paper and did a column about fashion, fell for the wrong guy in a band, etc.) I am surprised I never found this book when I was a teenager. Fans of MSCL will dig it or anyone that was different in high school will relate.",pos
"1st let me just say I firmly believe in the Roswell coverup. However, this book was an unbelievable disappointment.I would rate it negative 5 stars if I could!The author is either delusional/insane or purposely spreading disinformation for the government! While on the surface first things appear good and the author gives many names and has done his homework on Roswell, Tesla, HARP and many other controversial issues..He rapidly discredits himself as taking person credit for just about every signifcant event in history for the last 50 years throughout the book. And I am not talking about Roswell secrets that destroys his credibility. But he claims to be the sole creator of just about all history in the last 50 years non Roswell as well. In fact, after reading the book I'm not sure there is a single invention, or political event in history in the last 50 years, legend or Fact Alien, Non Alien, political or otherwise that Corso doesn't personaly take credit for as being his originial idea and using his charisma to change the world. Which is extraodinary considering the fact according to him nobody ever knows he has the Roswell Secrets. So to the government agencies he is a run of the mill Leutinent colonel. In addition to claiming to being the keeper of some Roswell artifacts and sending it out to contractors, He goes on and actually takes credit for personally determining their use , envisioning their future applications and directly the scientists ..all out of his pentagon office out of a 2 door file cabinet.. While I can buy the idea of an office with roswell secret and covertly giving it it to scientists. I cannot buy one man looking through crash scraps in a file cabinet and scribbled notes, and successfully without any lab or real scientists helping him, reverse engineering all the secret artifacts and their alien function and then solely himself inventing new technology and applications for EVERYTHING??? PLEASE! It seems we don't have any scientists examining the roswell artifcats to thank for the marvels of the Computer, Laser, Star wars,night vison, thought projection, Stealth bomber, kevlar...It's all Corso's who he himself who comes up with all the ideas and directs the scientists on what to build what he determines..If thats not enough to convince you, he then takes credit for advising the Kennedy's, Hoover and a couple other presidents on many political matters that are totally NOT UFO related,"" remember nobody knows of his roswell involvement, he is just a paper pusher at the pentagon. Then Corso claims to be soley responsible for giving the idea to Kennedy for putting the man on the moon, personally creating the Cuban Missle crisis by obtaining the photos and leaking them himself, and advising on Italy for the post war european rebuild of the economy. to add to these remarkable acheivements although no one knows he is the Roswell guy, everybody thinks he is some flunky lientent colonel. On several occassions Corco brags about walking in the front door challenging the head of the CIA, the ARPA organization, the Senate, Congress, all about NON-Alien issues! and winning everytime. It seems Corso can overrun any anybody organization in the US government..and remember all while nobody knows he is anything more than a lientent colonel..He doesn't even have the weight of the Roswell secrets known to this organization to back him up, Oh yes lets not forget he knows all about the CIA and they know nothing about him, and oh yeah I forgot it wasn't the CIA but Corso himself was also single handliy responsible for identifying the KGB infilitration in the CIA that needed to be cleaned up.Oh yeah Lets not forget his personal moon base project that got cancelled, How he was at texas when they stored the Alien bodies after the crash and accidently stumbled upon them, how he had the secret Telsa files, has all the details on HARP, the Kenndy assassianation ""but won't go inot that darkness"" etc.. the book goes on and on it seems Corso has the answer to every mystery in one book and if that's not enough to swallow Guess what he was responsible for ALL of it! Oh yes and he only had the Roswell secrets for 3 years..This is obviously either authorized disinformation, or an individual fantasy... either way it's a joke and insult to any reader with a below average intelligence or better.. I was serously waiting fro Corso to announce he was secretly God as well. Remember I firmly believe in the Roswell crash it's just this book was so over the top ridculous of tall tales than never end.. I was upset I wasted my time... Corso has got to be the most unreliable Roswell writer ever and his writing is wild BS..who knows maybe the roswell details or others are part true. in the book since he goes so far as to discredit himself with the other BS and we may have a classic case of crediable information coming from a discredibile source... Either Corso A. was order to produce this...to try and discredit proving the roswell crash, B. he knows nothing about Roswell and is borderline insane. C. He knows something about Roswell and is borderline insane. Either way I wouldn't read this book looking to find anything new on roswell thats even remotely reliable.If this is the best the government to come up with disinformation recently I have strong confidence we are close proving the Roswell coverup..really Corso and his book are a joke!I've read and researched almost every UFO book publication out there.. Fianlly somebody with the guts to leak the truth! trouble is after reading the book I had to question what truth was in there at all.. Don't get me wrong I believe there was a crash at roswell and the governement is or trying to reverse the technology.. After reading the book I just don't believe either Corsovo really knows anything and is wildly self delusional or if he does know something he is just trying to spread disinformation. Why? first of all his boasting about everything aside from UFO's CIA, Generals etc.. throw up a big BS meter. Secondly in additon to having the files, he also accidently saw the bodies back in 47 not authorized just accidently stumbled on them in an unguared warehouse while strolling around a base as a sargent..rather convinent no? then although he doesn't say how, but he knows all the secrets of HARP, bermuda triangle, BigFoot, the tooth fairy..etc... the list goes on and on... then in a final insult to your intelligence he single handedly claims to have reverse engineered and come up with a modern day use for every alien artifact.. rather good for a non- engineer looking at alien artifact in a file cabinent wouldn't you say? In fact by the end of the book in non UFO related topics, Corsovo ends up claiming to also have made several history changing decisons for several presidents, bullied the CIA, knows the secret to every myth and bedtime story, is single handled responsible for every piece of modern technology we have after 1950.. laser, computer, satellite, space shuttle, satellite, internet, etc..One of these things I could buy but him being the sole originator of all of them? Presidents, CIA, Roswell,computers, laser, HARP.. and all but accident? Not by promotion or assignment.. and not given any real support or black ops project to help him carry them out?? him all by himself in a pentgon office with a file cabinet and his own brains? And then never given any credit? no promotion? for all secrets and influnce in the hisptry of man? why wasn't he made a general or head of the CIA?? just an adjunct coronel?? retired with that pay?? In fact, the BS is so bad across the board I have trouble even beliving this is government disinformation.. they have a history of screwups but even this level of BS fairy tale across the board is beyond them.. My personal belief is that Corsovo is old and self delusional...Save your money and buy a Roswell book from Stanton Friedman he at least tries to come up with a plausible truth and evidence about the Roswell crash adn government coverup",neg
good but too expensive,neu
Great product but not for audiophiles.,neu
"I'd LOVE to have something like this, IF they put an atomic clock in it! It would be everything I've always wanted in a clock!",pos
"If you are full-figured with hips and ass, forget it.",neg
"I am sure it works but not for me. I am in the Ashburn, VA area and it did not work. It picked up 22 channels which only 2 worked. I am returning the item.",neg
