row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
29,wrong,Built great.,neu,pos,0.8034,RoBERTa,"Enhanced RoBERTa Pos = 0.7823 (contribution: 0.4664);
Enhanced VADER Pos = 0.804 (contribution: 0.3786);
Enhanced RoBERTa Neg = 0.032 (contribution: 0.3434);
Enhanced SVM Pos = 0.4904 (contribution: 0.0864);
Enhanced VADER Neu = 0.196 (contribution: 0.0815)","Meta Intensifier Count = 0.0 (contribution: -0.033);
Meta Pos Phrase Count = 0.0 (contribution: -0.0152);
Meta Has Pos Phrase = 0.0 (contribution: -0.0111);
Meta Has Diminisher = 0.0 (contribution: -0.0106);
Meta Diminisher Count = 0.0 (contribution: -0.0092)","The meta model predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Enhanced VADER Pos, Enhanced RoBERTa Neg, Enhanced SVM Pos, Enhanced VADER Neu. The main opposing signal was Meta Intensifier Count."
30,wrong,These are okay. They are pretty but they are also kinda cheap. But hey look at the price. They do look very nice and are comfortable to wear.,neu,pos,0.5173,RoBERTa,"Enhanced RoBERTa Pos = 0.8516 (contribution: 0.54);
Enhanced RoBERTa Neg = 0.0111 (contribution: 0.3659);
Meta Has Diminisher = 1.0 (contribution: 0.148);
Meta Diminisher Count = 1.0 (contribution: 0.1053);
Enhanced VADER Pos = 0.336 (contribution: 0.0993)","Enhanced SVM Neu = 0.5454 (contribution: -0.1472);
Meta Has Contrast = 1.0 (contribution: -0.0798);
Meta Has Intensifier = 1.0 (contribution: -0.049);
Meta Contrast Count = 2.0 (contribution: -0.0479);
Enhanced SVM Pos = 0.2125 (contribution: -0.0468)","The meta model predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Enhanced RoBERTa Neg, Meta Has Diminisher, Meta Diminisher Count, Enhanced VADER Pos. The main opposing signal was Enhanced SVM Neu."
34,wrong,Just what the travel doctor ordered!,pos,neu,0.3696,RoBERTa,"Enhanced RoBERTa Neu = 0.5666 (contribution: 0.1807);
Meta Intensifier Count = 0.0 (contribution: 0.0446);
Meta Negator Count = 0.0 (contribution: 0.0358);
Enhanced VADER Pos = 0.0 (contribution: 0.0194);
Enhanced RoBERTa Pos = 0.2313 (contribution: 0.0175)","Meta Has Contrast = 0.0 (contribution: -0.098);
Meta Has Negator = 0.0 (contribution: -0.0648);
Enhanced SVM Neu = 0.2875 (contribution: -0.0532);
Meta Contrast Count = 0.0 (contribution: -0.0503);
Enhanced VADER Compound = 0.0 (contribution: -0.0341)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Meta Intensifier Count, Meta Negator Count, Enhanced VADER Pos, Enhanced RoBERTa Pos. The main opposing signal was Meta Has Contrast."
36,wrong,"The Road to Gandolfo is a spoof, or satire, or meant to be generally amusing, or some combination of those three.A guy that is kicked out of the army for becoming a political embarrassment, decides to do something even more politically embarrassing. He kidnaps the Pope.The Pope doesn't mind that much, he gets to kick back, shoot the breeze, sink a few cold ones, have a few barbies, and generally be not stressed.The problem will be getting all the Catholics to pay the ransom that they want for him, as he is taxing them all.",pos,neg,0.6278,RoBERTa,"Enhanced RoBERTa Pos = 0.0343 (contribution: 0.2789);
Enhanced RoBERTa Neg = 0.5611 (contribution: 0.2358);
Enhanced VADER Compound = -0.53 (contribution: 0.2233);
Enhanced VADER Pos = 0.062 (contribution: 0.052);
Enhanced NB Pos = 0.2079 (contribution: 0.0479)","Meta Has Negator = 1.0 (contribution: -0.0526);
Enhanced RoBERTa Neu = 0.4046 (contribution: -0.0448);
Meta Intensifier Count = 0.0 (contribution: -0.0116);
Meta Neg Phrase Count = 0.0 (contribution: -0.0115);
Enhanced NB Neu = 0.3916 (contribution: -0.0061)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Enhanced RoBERTa Neg, Enhanced VADER Compound, Enhanced VADER Pos, Enhanced NB Pos. The main opposing signal was Meta Has Negator."
37,wrong,"They are great, the only reason why I didnt keep them is that I looked bad in these. My body isnt for it, but otherwise if you know you look good in these type of pants- that would be a good buy. Quality is pretty nice.I wished I looked better, but well, life ;)",pos,neu,0.5868,Polarity Shift Features,"Meta Has Contrast = 1.0 (contribution: 0.1167);
Enhanced SVM Neu = 0.4689 (contribution: 0.0971);
Enhanced VADER Compound = 0.9688 (contribution: 0.0839);
Meta Contrast Count = 2.0 (contribution: 0.0806);
Enhanced RoBERTa Neu = 0.4144 (contribution: 0.0748)","Meta Has Intensifier = 0.0 (contribution: -0.0317);
Enhanced VADER Pos = 0.346 (contribution: -0.0202);
Enhanced VADER Neg = 0.033 (contribution: -0.0189);
Meta Negator Count = 2.0 (contribution: -0.0187);
Enhanced NB Neu = 0.2869 (contribution: -0.0169)","The meta model predicted 'neu' mainly because the strongest supporting signals came from Polarity Shift Features. The top supporting features were Meta Has Contrast, Enhanced SVM Neu, Enhanced VADER Compound, Meta Contrast Count, Enhanced RoBERTa Neu. The main opposing signal was Meta Has Intensifier."
38,wrong,Awesome... for 2 weeks junk!,neg,pos,0.4149,RoBERTa,"Enhanced RoBERTa Pos = 0.6896 (contribution: 0.3681);
Enhanced RoBERTa Neg = 0.0732 (contribution: 0.2989);
Meta Has Contrast = 0.0 (contribution: 0.0671);
Enhanced VADER Neg = 0.0 (contribution: 0.0659);
Meta Contrast Count = 0.0 (contribution: 0.0299)","Enhanced VADER Pos = 0.0 (contribution: -0.1013);
Enhanced NB Neg = 0.4895 (contribution: -0.0747);
Enhanced SVM Pos = 0.1861 (contribution: -0.0594);
Enhanced NB Pos = 0.2322 (contribution: -0.057);
Enhanced VADER Compound = 0.0 (contribution: -0.0431)","The meta model predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Enhanced RoBERTa Neg, Meta Has Contrast, Enhanced VADER Neg, Meta Contrast Count. The main opposing signal was Enhanced VADER Pos."
42,wrong,"the channel memory is funky if its turned up to loud it cuts out the remote is too small and hard to read, understand and hold",neu,neg,0.7654,RoBERTa,"Enhanced RoBERTa Neg = 0.8691 (contribution: 0.5803);
Enhanced RoBERTa Pos = 0.0076 (contribution: 0.3031);
Enhanced VADER Compound = -0.4588 (contribution: 0.2037);
Enhanced RoBERTa Neu = 0.1233 (contribution: 0.0841);
Enhanced VADER Pos = 0.0 (contribution: 0.0819)","Meta Negator Count = 0.0 (contribution: -0.0438);
Enhanced NB Neg = 0.284 (contribution: -0.0269);
Enhanced NB Neu = 0.4722 (contribution: -0.0182);
Meta Intensifier Count = 0.0 (contribution: -0.0116);
Meta Neg Phrase Count = 0.0 (contribution: -0.0115)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Compound, Enhanced RoBERTa Neu, Enhanced VADER Pos. The main opposing signal was Meta Negator Count."
43,wrong,"Wedding planner Carnegie Kincaid is going through a rough patch professionally and personally. Her Seattle based businesses ""Made in Heaven Wedding Design"" is not making much money and her relationship with her commitment phobic significant other Aaron Gold is strained. She decides to attend the wedding of her college friend Tracy West because of the business contacts she will make there as Tracy is a big Hollywood star and her parents know all the movers and shakes.When Carnegie learns her cousin died, she decides that the wedding is the perfect place to get some answers regarding his death. Although Carnegie wasn't close to her cousin Brian Theale, she wants to know if his death was an accident or murder. A professional who examined the body thinks he was murdered but the sheriff and the task force classified it an accident. Brian's fellow smoke jumpers who were with him shortly after he died will be at the wedding so Carnegie will have an easy time questioning the suspects. To her delight, Aaron comes up for the wedding and since he is a journalist with skills that are needed to question suspects, they team up to find out the truth behind Brian's death.The heroine becomes the de facto wedding planner for the West wedding which gives her easy access to the suspects and her determination to find out if the cousin she didn't like was murdered is laudable. Doing her job while trying to scope out a murderer leads to some very funny situations and the comic relief is needed because the tension throughout the storyline is as tight as a high wire. Deborah Donnelly is a very creative writer whose mystery series is refreshingly innovative and totally exciting.Harriet Klausner",pos,neu,0.4921,RoBERTa,"Enhanced RoBERTa Neu = 0.6682 (contribution: 0.2514);
Meta Has Contrast = 1.0 (contribution: 0.1167);
Meta Contrast Count = 2.0 (contribution: 0.0806);
Enhanced SVM Neu = 0.4461 (contribution: 0.0782);
Meta Has Intensifier = 1.0 (contribution: 0.0598)","Meta Intensifier Count = 3.0 (contribution: -0.2002);
Enhanced VADER Compound = -0.9583 (contribution: -0.1508);
Enhanced NB Pos = 0.6211 (contribution: -0.0855);
Meta Negator Count = 3.0 (contribution: -0.046);
Enhanced NB Neu = 0.2204 (contribution: -0.0344)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Meta Has Contrast, Meta Contrast Count, Enhanced SVM Neu, Meta Has Intensifier. The main opposing signal was Meta Intensifier Count."
44,wrong,I am still having trouble getting it setup for wifi internet. If I can fix that problem it is a good buy.,neu,neg,0.4564,VADER,"Enhanced RoBERTa Pos = 0.1229 (contribution: 0.1988);
Enhanced VADER Compound = -0.3612 (contribution: 0.1768);
Meta Has Negator = 0.0 (contribution: 0.0679);
Enhanced VADER Neg = 0.222 (contribution: 0.0613);
Enhanced RoBERTa Neg = 0.3814 (contribution: 0.0346)","Enhanced RoBERTa Neu = 0.4958 (contribution: -0.0866);
Enhanced NB Neg = 0.2426 (contribution: -0.0465);
Meta Negator Count = 0.0 (contribution: -0.0438);
Enhanced VADER Neu = 0.658 (contribution: -0.0228);
Enhanced NB Pos = 0.3463 (contribution: -0.0181)","The meta model predicted 'neg' mainly because the strongest supporting signals came from VADER. The top supporting features were Enhanced RoBERTa Pos, Enhanced VADER Compound, Meta Has Negator, Enhanced VADER Neg, Enhanced RoBERTa Neg. The main opposing signal was Enhanced RoBERTa Neu."
51,wrong,"I got this as a replacement for my first Nexus case that had the magnets come loose. This one does have a sturdy magnet and clasp that won't come loose, but the cover is rather loose fitting and doesn't fold into a stand very well. I got the white case that looked great at first, but it gets dirty quickly and is hard to clean. I tried rubbing alcohol but that dulled the finish.",neg,neu,0.5452,Polarity Shift Features,"Enhanced SVM Neu = 0.5629 (contribution: 0.175);
Meta Contrast Count = 3.0 (contribution: 0.146);
Meta Has Contrast = 1.0 (contribution: 0.1167);
Meta Has Intensifier = 1.0 (contribution: 0.0598);
Enhanced SVM Pos = 0.0928 (contribution: 0.0523)","Meta Intensifier Count = 1.0 (contribution: -0.037);
Meta Negator Count = 2.0 (contribution: -0.0187);
Enhanced RoBERTa Neu = 0.2827 (contribution: -0.0168);
Enhanced RoBERTa Neg = 0.6928 (contribution: -0.0138);
Meta Has Neg Phrase = 0.0 (contribution: -0.0124)","The meta model predicted 'neu' mainly because the strongest supporting signals came from Polarity Shift Features. The top supporting features were Enhanced SVM Neu, Meta Contrast Count, Meta Has Contrast, Meta Has Intensifier, Enhanced SVM Pos. The main opposing signal was Meta Intensifier Count."
53,wrong,"The second novel in this series does not disappoint. We are presented with another cozy mystery, in which the characters and life in Botswana play a much more prominent role than the case itself. In most cases, I would say that this is a drawback, but McCall Smith's writing is so good, that the reader finds himself happily devouring the pages and learning about Mma Ramotswe and her entourage.Not only do we get a depiction of culture in Botswana, we get this through the colorful commentary of the characters. When I read lines like """"old Botswana morality, as everybody knew, was so plainly right"" I can't help it but break a smile. The dialogues are truly priceless, and even the thoughts of some characters, such as the evil and conniving maid of Ramotswe's fiance, are truly entertaining.Like I mentioned, there is not much emphasis on the couple of cases in which the No. 1 Ladies' Detective Agency is focusing on, but this is fine. The part that does bother me a little though, and is the reason why I am giving it 4 stars instead of 5, is that the main character reaches conclusions without us having any idea of what the reasoning was. For example, she decides someone is a bad person by looking at a picture, or she gets a clear profile of family and work of a woman she meets just by looking at her and what she is carrying. But we never know how she determined this, which is frustrating. I much rather have the logic described similar to what we get with Sherlock Holmes. Anyway, a small defect that overall does not invalidate the great appeal of this book.",pos,neu,0.5339,Polarity Shift Features,"Meta Contrast Count = 5.0 (contribution: 0.2769);
Enhanced SVM Neu = 0.5017 (contribution: 0.1243);
Meta Has Contrast = 1.0 (contribution: 0.1167);
Enhanced NB Neu = 0.6365 (contribution: 0.0752);
Enhanced VADER Compound = 0.8426 (contribution: 0.0685)","Meta Negator Count = 8.0 (contribution: -0.1824);
Enhanced RoBERTa Neu = 0.1526 (contribution: -0.1073);
Enhanced RoBERTa Pos = 0.8376 (contribution: -0.0778);
Meta Has Intensifier = 0.0 (contribution: -0.0317);
Meta Has Neg Phrase = 0.0 (contribution: -0.0124)","The meta model predicted 'neu' mainly because the strongest supporting signals came from Polarity Shift Features. The top supporting features were Meta Contrast Count, Enhanced SVM Neu, Meta Has Contrast, Enhanced NB Neu, Enhanced VADER Compound. The main opposing signal was Meta Negator Count."
55,wrong,"Incarcerated in a labor camp in Siberia, Ivan Denisovich struggles to find food, warmth and a bit of dignity over the course of his day as a forced laborer in the Gulag.....One Day in the Life of Ivan DenisovichRich B",pos,neg,0.5692,RoBERTa,"Enhanced RoBERTa Neg = 0.6672 (contribution: 0.3544);
Enhanced RoBERTa Pos = 0.0166 (contribution: 0.2949);
Meta Has Negator = 0.0 (contribution: 0.0679);
Enhanced VADER Compound = 0.0516 (contribution: 0.063);
Meta Has Contrast = 0.0 (contribution: 0.031)","Meta Negator Count = 0.0 (contribution: -0.0438);
Enhanced NB Neg = 0.261 (contribution: -0.0378);
Enhanced SVM Neg = 0.2267 (contribution: -0.0343);
Enhanced SVM Pos = 0.4422 (contribution: -0.0315);
Meta Intensifier Count = 0.0 (contribution: -0.0116)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Meta Has Negator, Enhanced VADER Compound, Meta Has Contrast. The main opposing signal was Meta Negator Count."
61,wrong,"I purchased this in 2013. It was easy to set up and has worked great since then. Only issue is when the display is out of it's dock it will sometimes lock up and require a restart to get the functions to work again. Also, none of the administrative functions work while it is in the dock, have to remove from dock to do anything. Now, here we are in the latter part of 2017 and I can no longer access the system on my iPhone because Uniden had not issued any upgrades that will allow their system to work with IOS 11. Trying to contact Uniden but like so many companies these days they hide their contact information so that you either spend way too much time to find it, or you never find it, which means they don't have to help many people, just sell a product and write it off.",pos,neg,0.6109,RoBERTa,"Enhanced RoBERTa Neg = 0.6496 (contribution: 0.3347);
Enhanced RoBERTa Pos = 0.0354 (contribution: 0.2779);
Enhanced NB Neg = 0.64 (contribution: 0.1417);
Meta Negator Count = 4.0 (contribution: 0.0895);
Enhanced NB Pos = 0.1493 (contribution: 0.0758)","Meta Has Negator = 1.0 (contribution: -0.0526);
Meta Has Contrast = 1.0 (contribution: -0.0369);
Enhanced VADER Compound = 0.3946 (contribution: -0.0316);
Enhanced VADER Neg = 0.041 (contribution: -0.0156);
Meta Intensifier Count = 0.0 (contribution: -0.0116)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced NB Neg, Meta Negator Count, Enhanced NB Pos. The main opposing signal was Meta Has Negator."
