row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
30,wrong,These are okay. They are pretty but they are also kinda cheap. But hey look at the price. They do look very nice and are comfortable to wear.,neu,pos,0.7148,RoBERTa,"Base RoBERTa Pos = 0.8423 (contribution: 0.8712);
Base RoBERTa Neg = 0.0123 (contribution: 0.6605);
Base NB Neg = 0.207 (contribution: 0.0763);
Base NB Pos = 0.4459 (contribution: 0.0742);
Base VADER Neg = 0.0 (contribution: 0.0589)","Base SVM Pos = 0.2502 (contribution: -0.1123);
Base SVM Neg = 0.3825 (contribution: -0.0272);
Base SVM Neu = 0.3673 (contribution: -0.0172);
Base VADER Neu = 0.664 (contribution: -0.016);
Base NB Neu = 0.3471 (contribution: -0.0011)","The meta model predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base NB Neg, Base NB Pos, Base VADER Neg. The main opposing signal was Base SVM Pos."
34,wrong,Just what the travel doctor ordered!,pos,neu,0.4679,RoBERTa,"Base RoBERTa Neu = 0.5623 (contribution: 0.125);
Base VADER Pos = 0.0 (contribution: 0.053);
Base RoBERTa Pos = 0.2303 (contribution: 0.0265);
Base VADER Neu = 1.0 (contribution: 0.003);
Base NB Neg = 0.3523 (contribution: 0.0024)","Base VADER Compound = 0.0 (contribution: -0.1022);
Base VADER Neg = 0.0 (contribution: -0.0547);
Base NB Neu = 0.3211 (contribution: -0.0195);
Base SVM Neu = 0.3333 (contribution: -0.018);
Base RoBERTa Neg = 0.2074 (contribution: -0.0156)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neu, Base VADER Pos, Base RoBERTa Pos, Base VADER Neu, Base NB Neg. The main opposing signal was Base VADER Compound."
36,wrong,"The Road to Gandolfo is a spoof, or satire, or meant to be generally amusing, or some combination of those three.A guy that is kicked out of the army for becoming a political embarrassment, decides to do something even more politically embarrassing. He kidnaps the Pope.The Pope doesn't mind that much, he gets to kick back, shoot the breeze, sink a few cold ones, have a few barbies, and generally be not stressed.The problem will be getting all the Catholics to pay the ransom that they want for him, as he is taxing them all.",pos,neg,0.6543,RoBERTa,"Base RoBERTa Pos = 0.0351 (contribution: 0.4601);
Base RoBERTa Neg = 0.5504 (contribution: 0.3746);
Base VADER Compound = -0.53 (contribution: 0.2926);
Base SVM Pos = 0.2506 (contribution: 0.0856);
Base SVM Neg = 0.434 (contribution: 0.0778)","Base RoBERTa Neu = 0.4145 (contribution: -0.0499);
Base NB Pos = 0.1863 (contribution: -0.0227);
Base VADER Pos = 0.062 (contribution: -0.0157);
Base VADER Neu = 0.842 (contribution: -0.0123);
Base NB Neu = 0.3603 (contribution: -0.0045)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base VADER Compound, Base SVM Pos, Base SVM Neg. The main opposing signal was Base RoBERTa Neu."
37,wrong,"They are great, the only reason why I didnt keep them is that I looked bad in these. My body isnt for it, but otherwise if you know you look good in these type of pants- that would be a good buy. Quality is pretty nice.I wished I looked better, but well, life ;)",pos,neu,0.5397,SVM,"Base VADER Compound = 0.9688 (contribution: 0.2114);
Base SVM Neu = 0.46 (contribution: 0.1059);
Base RoBERTa Neu = 0.4136 (contribution: 0.0513);
Base SVM Pos = 0.2156 (contribution: 0.0402);
Base NB Neg = 0.3799 (contribution: 0.0077)","Base VADER Pos = 0.346 (contribution: -0.0563);
Base NB Neu = 0.261 (contribution: -0.055);
Base NB Pos = 0.3591 (contribution: -0.0381);
Base VADER Neg = 0.033 (contribution: -0.0264);
Base RoBERTa Pos = 0.4451 (contribution: -0.0247)","The meta model predicted 'neu' mainly because the strongest supporting signals came from SVM. The top supporting features were Base VADER Compound, Base SVM Neu, Base RoBERTa Neu, Base SVM Pos, Base NB Neg. The main opposing signal was Base VADER Pos."
38,wrong,Awesome... for 2 weeks junk!,neg,pos,0.5624,RoBERTa,"Base RoBERTa Pos = 0.6802 (contribution: 0.5893);
Base RoBERTa Neg = 0.0796 (contribution: 0.5282);
Base VADER Neg = 0.0 (contribution: 0.0589);
Base VADER Neu = 1.0 (contribution: 0.0356);
Base SVM Neu = 0.3326 (contribution: 0.021)","Base NB Neg = 0.4628 (contribution: -0.0709);
Base NB Pos = 0.2245 (contribution: -0.0434);
Base VADER Pos = 0.0 (contribution: -0.0281);
Base SVM Neg = 0.3465 (contribution: -0.0073);
Base VADER Compound = 0.0 (contribution: -0.007)","The meta model predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base VADER Neg, Base VADER Neu, Base SVM Neu. The main opposing signal was Base NB Neg."
42,wrong,"the channel memory is funky if its turned up to loud it cuts out the remote is too small and hard to read, understand and hold",neu,neg,0.7788,RoBERTa,"Base RoBERTa Neg = 0.8721 (contribution: 0.971);
Base RoBERTa Pos = 0.007 (contribution: 0.5022);
Base VADER Compound = -0.4588 (contribution: 0.2679);
Base SVM Pos = 0.235 (contribution: 0.1062);
Base RoBERTa Neu = 0.1209 (contribution: 0.0904)","Base NB Neu = 0.4595 (contribution: -0.0785);
Base VADER Pos = 0.0 (contribution: -0.025);
Base NB Pos = 0.2008 (contribution: -0.0199);
Base VADER Neu = 0.821 (contribution: -0.0088)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base SVM Pos, Base RoBERTa Neu. The main opposing signal was Base NB Neu."
43,wrong,"Wedding planner Carnegie Kincaid is going through a rough patch professionally and personally. Her Seattle based businesses ""Made in Heaven Wedding Design"" is not making much money and her relationship with her commitment phobic significant other Aaron Gold is strained. She decides to attend the wedding of her college friend Tracy West because of the business contacts she will make there as Tracy is a big Hollywood star and her parents know all the movers and shakes.When Carnegie learns her cousin died, she decides that the wedding is the perfect place to get some answers regarding his death. Although Carnegie wasn't close to her cousin Brian Theale, she wants to know if his death was an accident or murder. A professional who examined the body thinks he was murdered but the sheriff and the task force classified it an accident. Brian's fellow smoke jumpers who were with him shortly after he died will be at the wedding so Carnegie will have an easy time questioning the suspects. To her delight, Aaron comes up for the wedding and since he is a journalist with skills that are needed to question suspects, they team up to find out the truth behind Brian's death.The heroine becomes the de facto wedding planner for the West wedding which gives her easy access to the suspects and her determination to find out if the cousin she didn't like was murdered is laudable. Doing her job while trying to scope out a murderer leads to some very funny situations and the comic relief is needed because the tension throughout the storyline is as tight as a high wire. Deborah Donnelly is a very creative writer whose mystery series is refreshingly innovative and totally exciting.Harriet Klausner",pos,neu,0.4793,SVM,"Base SVM Neu = 0.5434 (contribution: 0.1876);
Base RoBERTa Neu = 0.67 (contribution: 0.1783);
Base VADER Neg = 0.159 (contribution: 0.0816);
Base RoBERTa Pos = 0.1623 (contribution: 0.0427);
Base SVM Neg = 0.1672 (contribution: 0.0367)","Base VADER Compound = -0.5165 (contribution: -0.2694);
Base NB Pos = 0.5342 (contribution: -0.1643);
Base NB Neu = 0.2816 (contribution: -0.0428);
Base NB Neg = 0.1841 (contribution: -0.0297);
Base RoBERTa Neg = 0.1677 (contribution: -0.02)","The meta model predicted 'neu' mainly because the strongest supporting signals came from SVM. The top supporting features were Base SVM Neu, Base RoBERTa Neu, Base VADER Neg, Base RoBERTa Pos, Base SVM Neg. The main opposing signal was Base VADER Compound."
44,wrong,I am still having trouble getting it setup for wifi internet. If I can fix that problem it is a good buy.,neu,neg,0.447,RoBERTa,"Base RoBERTa Pos = 0.1266 (contribution: 0.3227);
Base VADER Compound = -0.3612 (contribution: 0.2342);
Base RoBERTa Neg = 0.3779 (contribution: 0.0547);
Base NB Pos = 0.4441 (contribution: 0.0261);
Base VADER Neu = 0.658 (contribution: 0.0184)","Base RoBERTa Neu = 0.4955 (contribution: -0.0886);
Base SVM Pos = 0.3627 (contribution: -0.0631);
Base NB Neg = 0.204 (contribution: -0.0522);
Base VADER Pos = 0.119 (contribution: -0.0073);
Base SVM Neg = 0.3248 (contribution: -0.0065)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base VADER Compound, Base RoBERTa Neg, Base NB Pos, Base VADER Neu. The main opposing signal was Base RoBERTa Neu."
49,wrong,"This detector provides barely enough warning distance for my area. I live in a more-or-less heavily forested area of the country (Southern New Hampshire). Our roads are often twisty and hilly, with lots of vegetation to soak up radar waves. I still get by with this detector, but I have to be responsive to alerts as soon as they happen, or pay the consequences. With any radar detector that alerts on X-band, you need to be able to ignore spurious signals issued by automatic doors (WalMart, Target, etc.) and the collision detection sensors used on the more and more well-equipped cars today. I only use mine for X and Xa band detection, since those are typically most used here. LADAR? Forget about it!",neu,neg,0.4287,VADER,"Base VADER Compound = -0.7937 (contribution: 0.3838);
Base RoBERTa Pos = 0.127 (contribution: 0.3222);
Base NB Neu = 0.2301 (contribution: 0.0926);
Base NB Pos = 0.5939 (contribution: 0.0544);
Base SVM Neg = 0.3392 (contribution: 0.0046)","Base RoBERTa Neg = 0.2422 (contribution: -0.1969);
Base RoBERTa Neu = 0.6308 (contribution: -0.1533);
Base SVM Pos = 0.3761 (contribution: -0.0809);
Base NB Neg = 0.1759 (contribution: -0.0629);
Base VADER Pos = 0.026 (contribution: -0.0211)","The meta model predicted 'neg' mainly because the strongest supporting signals came from VADER. The top supporting features were Base VADER Compound, Base RoBERTa Pos, Base NB Neu, Base NB Pos, Base SVM Neg. The main opposing signal was Base RoBERTa Neg."
55,wrong,"Incarcerated in a labor camp in Siberia, Ivan Denisovich struggles to find food, warmth and a bit of dignity over the course of his day as a forced laborer in the Gulag.....One Day in the Life of Ivan DenisovichRich B",pos,neg,0.6421,RoBERTa,"Base RoBERTa Neg = 0.6778 (contribution: 0.6107);
Base RoBERTa Pos = 0.0156 (contribution: 0.4893);
Base VADER Compound = 0.0516 (contribution: 0.0914);
Base NB Neu = 0.2961 (contribution: 0.0434);
Base NB Pos = 0.459 (contribution: 0.0289)","Base SVM Pos = 0.4104 (contribution: -0.1264);
Base NB Neg = 0.245 (contribution: -0.0364);
Base SVM Neg = 0.2989 (contribution: -0.0265);
Base SVM Neu = 0.2907 (contribution: -0.0075);
Base VADER Pos = 0.132 (contribution: -0.0053)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base NB Neu, Base NB Pos. The main opposing signal was Base SVM Pos."
56,wrong,"I read this book many years ago when I was 13 or 14 so my memory is a little fuzzy on the details, but I remember it made a huge impression on me at the time. I saw the movie and that is what originally inspired me to read the book, but there is a lot more to the book than just the love story that was portrayed in the movie. There is a lot of political and social history presented in the novel, but not so much that it overwhelms the reader. The story and the history are balanced very well. The main character strives to do well and survive against the odds, which was inspirational despite the fact that so many unfortunate incidents happened to him.",neu,pos,0.7328,RoBERTa,"Base RoBERTa Pos = 0.7969 (contribution: 0.7922);
Base RoBERTa Neg = 0.0074 (contribution: 0.67);
Base NB Neg = 0.1993 (contribution: 0.0807);
Base SVM Pos = 0.3595 (contribution: 0.0768);
Base NB Pos = 0.4301 (contribution: 0.0658)",Base VADER Neu = 0.756 (contribution: -0.0019),"The meta model predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base NB Neg, Base SVM Pos, Base NB Pos. The main opposing signal was Base VADER Neu."
58,wrong,Nice but thought it was more wide neck opening. Nice soft fabric.,neu,pos,0.4914,RoBERTa,"Base RoBERTa Neg = 0.0431 (contribution: 0.6);
Base RoBERTa Pos = 0.5783 (contribution: 0.4119);
Base VADER Neg = 0.0 (contribution: 0.0589);
Base VADER Pos = 0.359 (contribution: 0.032);
Base NB Neg = 0.2846 (contribution: 0.0316)","Base SVM Pos = 0.2654 (contribution: -0.0861);
Base NB Pos = 0.2443 (contribution: -0.0329);
Base VADER Neu = 0.641 (contribution: -0.0195);
Base SVM Neg = 0.3665 (contribution: -0.0183);
Base SVM Neu = 0.3681 (contribution: -0.0181)","The meta model predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Neg, Base VADER Pos, Base NB Neg. The main opposing signal was Base SVM Pos."
61,wrong,"I purchased this in 2013. It was easy to set up and has worked great since then. Only issue is when the display is out of it's dock it will sometimes lock up and require a restart to get the functions to work again. Also, none of the administrative functions work while it is in the dock, have to remove from dock to do anything. Now, here we are in the latter part of 2017 and I can no longer access the system on my iPhone because Uniden had not issued any upgrades that will allow their system to work with IOS 11. Trying to contact Uniden but like so many companies these days they hide their contact information so that you either spend way too much time to find it, or you never find it, which means they don't have to help many people, just sell a product and write it off.",pos,neg,0.6835,RoBERTa,"Base RoBERTa Neg = 0.6583 (contribution: 0.5746);
Base RoBERTa Pos = 0.0334 (contribution: 0.4626);
Base SVM Pos = 0.1597 (contribution: 0.2062);
Base SVM Neg = 0.5279 (contribution: 0.1504);
Base NB Neg = 0.6135 (contribution: 0.1054)","Base NB Pos = 0.1608 (contribution: -0.0275);
Base VADER Compound = 0.3946 (contribution: -0.0273);
Base VADER Neu = 0.9 (contribution: -0.0219);
Base VADER Pos = 0.058 (contribution: -0.0163);
Base SVM Neu = 0.3124 (contribution: -0.0049)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base SVM Pos, Base SVM Neg, Base NB Neg. The main opposing signal was Base NB Pos."
63,wrong,"I have two of these that I'll be returning. The menu functions require about an hour of training. Between the three buttons and power button, it's a puzzle trying to figure out which buttons do what, and how long you have to hold down which button for 1, 2 or 5 seconds to make something happen. Aside from that, I wouldn't have been rating this a bad product if it wasn't for what followed. I hooked one up for a day, and noticed that the time stamp seemed to fall back about 2 minutes every hour. GPS function is a non-existent joke. It simply doesn't work. It did manage to locate where I parked my car, and after that reported everywhere I went at the same location. The time stamp started to jam after 4 hours of use, and after another hour, the camera stopped recording all together losing the last hour of my drive. I'm not sure why it has any sort of built in power source, as it gets about 2 minutes on a full charge before shutting off. Again, I can deal with the power deficiency issue, and complicated menu, the lack of a working GPS, and even the time stamp, but when it just decided to stop recording I'm not seeing the point in having it. I also noticed after taking the time to read the reviews this is a cheap dysfunctional copy of a real product. 09/04/2014 Just an update. I mentioned I purchased two. For kicks and grins I tried the other one today and everything seems to work fine. It is still a little cheap, and difficult to move around the menus, but I admit the other one had to be really screwed up. The GPS on the new one works as well. I'd update the review to three stars from one. I'd give it four stars for overall value if the first one had worked.",neu,neg,0.857,RoBERTa,"Base RoBERTa Neg = 0.8751 (contribution: 0.9767);
Base RoBERTa Pos = 0.0085 (contribution: 0.5);
Base VADER Compound = -0.6413 (contribution: 0.3311);
Base SVM Pos = 0.1833 (contribution: 0.1749);
Base RoBERTa Neu = 0.1163 (contribution: 0.0926)","Base NB Pos = 0.166 (contribution: -0.0265);
Base VADER Neu = 0.895 (contribution: -0.0211);
Base VADER Pos = 0.044 (contribution: -0.0184);
Base VADER Neg = 0.061 (contribution: -0.0002)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base SVM Pos, Base RoBERTa Neu. The main opposing signal was Base NB Pos."
65,wrong,Too small for my child's head,neu,neg,0.6736,RoBERTa,"Base RoBERTa Neg = 0.8289 (contribution: 0.8909);
Base RoBERTa Pos = 0.0118 (contribution: 0.495);
Base VADER Compound = 0.0 (contribution: 0.1092);
Base RoBERTa Neu = 0.1593 (contribution: 0.0721);
Base SVM Neg = 0.3701 (contribution: 0.0285)","Base NB Neu = 0.5342 (contribution: -0.1343);
Base VADER Neu = 1.0 (contribution: -0.0386);
Base NB Neg = 0.2592 (contribution: -0.0309);
Base VADER Pos = 0.0 (contribution: -0.025);
Base NB Pos = 0.2066 (contribution: -0.0188)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base RoBERTa Neu, Base SVM Neg. The main opposing signal was Base NB Neu."
72,wrong,"Wanted to update my 4 year old Sony TX630 with SSD. I read here, read there, finally ordered this MTRON drive and then the next evening found an obscure link with a better photo and it clearly showed that ZIF wasn't compatible with the microATA50 Toshiba Drives used in Sonys. I didn't open the OEM box when it came. I wrote Jonny at Rocket Disk and he said they'll restock it for a modest fee so its on its way back. I am writing this as a precaution to buyers who are unsure - the error will cost ya. My Bad. BUT, today, I found conics.net has an SSD that WILL work, similar price range. Too bad they're not on AMAZON.",pos,neg,0.7372,RoBERTa,"Base RoBERTa Neg = 0.6711 (contribution: 0.5983);
Base RoBERTa Pos = 0.0211 (contribution: 0.4811);
Base VADER Compound = -0.8458 (contribution: 0.4018);
Base SVM Pos = 0.2603 (contribution: 0.0728);
Base NB Neu = 0.3066 (contribution: 0.0355)","Base SVM Neg = 0.2418 (contribution: -0.0706);
Base VADER Pos = 0.031 (contribution: -0.0203);
Base VADER Neu = 0.861 (contribution: -0.0154);
Base NB Neg = 0.3087 (contribution: -0.0119)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base SVM Pos, Base NB Neu. The main opposing signal was Base SVM Neg."
